portfolio_communication_allocation,portfolio_financial_services,portfolio_industrials_allocation,portfolio_tech_allocation,portfolio_materials_basic_allocation,portfolio_energy_allocation,portfolio_consumer_defence_allocation,portfolio_healthcare_allocation,portfolio_property_allocation,id,portfolio_utils_allocation,portfolio_cyclical_consumer_allocation
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142010,0.0,0.0
3.46,15.01,9.57,14.87,10.56,7.15,6.83,16.64,2.5,64097,5.81,7.61
0.0,0.0,18.54,4.4,0.0,0.0,0.0,0.0,0.0,56546,0.0,77.06
3.07,15.17,9.91,17.55,3.65,3.99,11.15,11.94,6.95,105506,3.74,12.88
0.0,15.49,15.68,23.39,7.02,0.0,12.12,19.58,0.0,56645,0.0,6.72
2.11,11.65,9.91,24.53,4.27,7.52,6.3,17.51,0.94,207287,1.06,14.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53837,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58517,0.0,0.0
3.47,16.35,9.71,14.0,3.97,7.1,10.06,11.48,5.6,27179,4.67,13.59
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185705,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56996,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52559,0.0,0.0
7.03,14.34,6.22,12.81,8.1,11.45,12.07,13.65,4.01,108710,3.1,7.22
1.74,8.16,15.25,28.77,2.95,2.49,7.74,19.31,0.79,99323,0.0,12.8
2.91,16.79,11.18,16.9,4.16,4.4,7.95,12.31,7.81,159749,2.3,13.28
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72323,0.0,0.0
5.65,14.51,6.35,15.01,5.59,2.94,19.48,14.92,2.61,160595,0.04,12.89
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57950,0.0,0.0
2.56,18.03,10.78,16.97,5.01,6.47,7.92,13.05,3.9,132182,2.9,12.42
0.03,8.23,15.47,25.55,1.48,1.46,10.95,21.37,1.27,179315,0.02,14.16
2.82,14.85,7.3,14.28,1.35,4.59,14.78,20.98,9.77,165032,0.8,8.47
2.59,0.0,10.9,10.91,10.89,5.63,9.74,3.23,3.66,220409,3.27,39.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162134,0.0,0.0
1.5,6.33,18.97,25.97,4.58,1.07,7.07,17.02,0.83,177335,0.0,16.67
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205091,0.0,0.0
1.07,7.75,12.78,26.17,1.63,7.05,3.13,23.61,0.46,35144,0.53,15.83
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52577,0.0,0.0
3.15,17.66,12.34,18.71,4.49,5.65,6.61,11.51,4.99,199439,3.29,11.6
3.4,30.07,8.17,2.32,14.08,13.81,3.6,4.25,3.32,65717,1.44,15.55
3.88,15.74,11.94,17.93,3.91,5.25,7.78,11.76,6.62,122543,3.3,11.89
2.52,17.92,10.85,17.12,5.13,6.43,7.86,13.15,3.92,130481,2.82,12.29
,,,,,,,,,93608,,
3.51,17.25,11.12,21.98,4.39,7.1,6.51,11.93,1.94,171917,3.1,11.16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247616,0.0,0.0
5.0,7.83,17.53,10.0,0.64,0.0,28.6,8.22,8.91,46295,2.32,10.95
2.43,18.83,10.32,16.26,4.46,5.27,6.87,11.14,8.67,136295,2.86,12.89
3.42,15.15,13.27,10.91,0.75,16.57,6.59,11.12,10.3,46511,1.38,10.54
3.68,16.93,10.53,17.35,4.41,5.4,8.34,12.71,5.56,122894,3.53,11.57
3.93,20.24,11.5,13.45,3.92,4.77,13.27,13.23,1.98,129599,0.0,13.7
4.28,4.86,7.63,76.23,0.0,0.0,0.0,0.0,0.0,188054,0.0,7.0
0.0,0.0,11.23,13.86,8.98,0.0,16.19,33.93,0.0,76859,0.0,15.81
0.61,0.0,0.0,0.15,0.33,0.0,0.0,0.0,97.3,118934,0.0,1.61
0.0,0.0,0.0,0.0,3.18,96.82,0.0,0.0,0.0,158183,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201644,0.0,0.0
0.0,8.92,10.61,31.45,15.97,1.06,4.51,20.86,0.0,231506,0.0,6.61
2.28,16.24,9.53,23.87,1.81,4.95,6.16,14.59,3.45,178496,4.0,13.13
0.0,0.0,47.4,0.0,0.0,0.0,0.0,0.0,0.0,134369,52.6,0.0
0.8,3.11,20.52,10.12,16.53,6.42,6.47,9.85,3.82,157499,0.68,21.68
8.45,29.16,7.92,10.72,7.04,10.93,4.81,9.53,3.74,47294,3.46,4.24
0.0,13.31,15.41,35.11,2.97,2.2,2.61,13.92,6.56,144170,0.0,7.9
2.06,15.52,18.09,17.57,4.96,3.3,4.89,11.19,7.2,205586,3.38,11.84
0.0,2.3,0.0,72.91,0.0,0.0,0.0,0.0,0.0,196433,0.0,24.78
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197351,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124316,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199808,0.0,0.0
0.0,0.0,10.14,0.0,20.32,69.54,0.0,0.0,0.0,155888,0.0,0.0
1.74,14.63,8.16,31.13,2.83,0.0,3.04,17.02,2.63,151748,0.0,18.82
2.96,17.52,12.29,15.58,5.36,6.38,7.73,12.12,5.23,135269,3.54,11.31
4.33,24.88,6.99,12.25,1.88,5.41,13.65,9.84,1.71,176435,0.0,19.05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28034,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50813,0.0,0.0
3.11,18.92,10.7,12.58,4.28,7.89,10.79,10.43,5.7,119159,4.13,11.47
0.0,31.54,19.73,5.81,10.4,6.82,2.08,2.89,4.88,198989,2.97,12.87
3.01,18.67,11.49,18.13,4.67,6.2,9.02,11.83,3.01,142568,2.99,10.97
1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.18,106289,0.0,1.36
1.19,20.38,14.08,19.28,5.78,5.17,5.06,11.22,0.0,126233,4.85,13.0
0.0,23.29,12.91,15.03,2.95,2.12,14.14,2.7,0.0,57167,3.88,22.98
2.71,8.39,9.48,35.78,1.78,0.74,5.79,16.19,1.16,70730,1.01,16.97
4.62,23.39,11.66,24.13,7.98,5.98,0.0,9.72,0.0,38411,0.0,12.52
1.01,10.77,13.4,24.78,5.92,2.86,6.91,17.47,1.8,211292,0.19,14.89
1.85,15.92,16.41,21.76,0.0,1.71,0.53,22.23,0.0,245717,9.36,10.24
3.58,17.7,11.26,17.43,4.62,5.58,7.79,12.14,5.29,101717,3.72,10.89
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240371,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157283,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178190,0.0,0.0
3.11,15.66,10.04,22.79,2.41,5.62,7.49,14.17,2.79,233585,2.84,13.08
2.74,11.53,12.51,17.59,4.17,19.76,3.06,11.64,5.84,74258,7.17,3.99
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27071,0.0,0.0
5.29,23.26,10.2,10.86,4.76,8.86,6.98,10.06,1.79,186461,6.06,11.88
3.54,20.0,10.28,23.32,4.29,6.53,4.36,17.65,1.65,252188,0.0,8.39
3.7,20.51,13.97,11.32,0.0,6.61,8.91,16.95,5.49,249740,8.22,4.32
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103868,0.0,0.0
0.02,4.0,0.08,0.0,0.0,8.05,0.0,0.0,87.67,178064,0.17,0.0
5.02,13.09,8.48,15.75,4.69,9.63,10.09,15.25,4.12,205172,5.3,8.57
0.44,20.76,14.68,16.87,6.15,2.35,3.42,14.91,6.4,42056,2.34,11.68
10.48,25.1,8.34,8.19,9.66,9.42,3.1,7.51,0.26,230624,3.05,14.91
3.5,25.27,8.47,7.29,9.69,9.37,17.3,9.94,0.53,127799,0.95,7.69
3.77,18.12,10.92,12.03,4.1,5.06,7.68,8.94,15.84,129239,3.17,10.37
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131372,0.0,0.0
3.46,17.39,11.43,16.89,4.43,5.52,7.99,12.42,5.5,102095,4.37,10.61
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74366,0.0,0.0
3.4,16.58,11.09,19.02,4.37,5.59,7.8,12.14,5.09,228905,3.15,11.77
2.29,11.99,12.36,23.87,1.82,6.88,8.49,16.89,3.96,73016,1.77,9.69
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157526,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41228,0.0,0.0
3.23,17.19,11.15,17.93,4.77,5.46,7.53,11.66,6.46,143873,3.1,11.51
9.44,22.0,2.97,10.08,5.11,9.66,10.94,19.62,0.0,148913,7.3,2.88
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224702,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104282,0.0,0.0
3.82,1.07,19.55,13.05,7.95,2.97,15.04,10.8,4.47,179297,2.49,18.79
4.74,24.68,5.12,23.57,7.96,7.67,6.78,2.74,3.2,118052,2.64,10.9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81080,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216233,0.0,0.0
4.95,22.43,10.6,11.25,8.63,8.1,9.96,6.77,3.69,190349,3.52,10.11
1.06,7.12,15.43,31.57,3.82,1.86,10.5,22.88,0.0,212354,0.0,5.76
8.77,18.26,15.9,15.35,7.7,9.04,4.94,10.43,0.0,55529,3.71,5.89
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194768,0.0,0.0
3.54,20.0,9.03,18.43,8.78,7.95,7.08,8.26,4.17,248498,1.88,10.88
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90638,0.0,0.0
3.83,10.81,8.96,29.09,2.06,2.96,5.29,18.13,2.21,155042,1.91,14.75
7.69,21.06,5.43,23.17,2.44,10.41,6.62,0.0,12.12,133955,2.71,8.34
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181250,0.0,0.0
3.89,16.32,9.19,25.61,1.78,5.32,6.9,15.68,1.96,226106,2.64,10.7
5.47,13.3,9.97,11.76,4.94,9.68,10.63,16.47,4.31,62207,6.06,7.41
4.39,25.0,13.83,11.73,3.55,4.44,9.29,13.51,0.0,66482,0.0,14.27
,,,,,,,,,58373,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235151,0.0,0.0
5.39,1.44,0.0,0.0,0.0,3.4,54.82,3.91,0.0,251135,0.0,31.04
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173771,0.0,0.0
48.55,0.0,0.0,51.45,0.0,0.0,0.0,0.0,0.0,228959,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115361,0.0,0.0
0.0,0.0,63.46,0.0,9.23,27.31,0.0,0.0,0.0,245132,0.0,0.0
0.87,0.0,18.5,0.0,10.34,16.09,0.0,0.0,0.0,223604,44.72,9.48
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38744,0.0,0.0
3.12,14.36,9.84,23.07,1.87,5.16,9.77,14.54,4.08,165878,4.5,9.7
3.54,20.0,9.03,18.43,8.78,7.95,7.08,8.26,4.17,248111,1.88,10.88
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46718,0.0,0.0
3.03,16.59,11.09,15.57,4.95,6.99,8.57,12.53,4.27,131777,3.81,12.6
0.0,32.39,16.39,8.62,14.88,4.77,8.1,10.07,0.0,36413,1.3,3.49
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247634,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121823,0.0,0.0
4.79,30.8,10.94,10.92,5.53,10.88,7.56,6.89,2.2,101393,1.63,7.88
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198818,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174077,0.0,0.0
4.66,14.57,9.89,20.13,5.96,6.37,8.4,15.18,3.03,45530,0.0,11.81
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30419,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87920,0.0,0.0
2.51,18.57,10.49,16.23,4.37,5.27,6.81,11.35,8.59,137249,2.91,12.9
2.4,10.66,4.38,31.24,4.35,0.0,12.93,15.84,1.21,69902,5.63,11.35
2.93,22.17,10.25,20.02,4.5,6.64,6.64,11.65,2.69,83492,1.96,10.55
4.63,12.62,8.59,9.82,13.43,3.77,5.03,5.99,4.28,203975,9.82,22.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72629,0.0,0.0
4.64,24.13,5.37,23.43,8.04,7.48,6.79,2.93,3.32,217241,2.72,11.16
4.69,18.12,13.14,8.77,7.77,5.65,12.78,10.82,3.63,48626,3.22,11.4
4.7,15.58,14.22,10.26,5.19,4.5,10.52,12.94,5.97,250550,4.55,11.57
6.56,3.51,12.1,11.81,11.95,2.8,5.97,24.37,1.49,212318,0.51,18.94
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70379,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120140,0.0,0.0
0.02,7.03,14.12,41.87,1.34,1.21,6.36,18.69,0.03,249623,0.38,8.96
2.39,6.24,16.49,31.17,2.71,1.87,5.25,16.53,0.83,113273,0.0,16.54
0.0,0.0,21.04,0.0,0.0,0.0,0.0,0.0,0.0,132785,0.0,78.96
24.4,5.97,42.62,3.25,2.22,1.57,1.91,2.42,6.01,214055,1.17,8.44
1.99,6.88,17.7,34.1,0.0,0.64,6.84,14.87,1.28,171863,0.0,15.71
7.67,22.4,11.37,10.96,8.22,7.5,11.79,8.36,0.0,222614,4.09,7.64
3.12,14.36,9.84,23.07,1.87,5.16,9.77,14.54,4.08,166022,4.5,9.7
4.75,21.81,9.34,22.83,3.28,7.29,0.55,11.93,2.81,120563,2.8,12.6
0.61,27.8,18.6,20.55,2.3,9.03,0.0,5.48,1.05,253421,0.0,14.59
8.45,18.86,11.39,3.04,6.25,8.43,9.39,7.67,6.53,102428,3.48,16.5
4.24,18.5,10.13,17.53,4.89,4.85,5.03,11.49,9.95,194354,1.25,12.13
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71648,0.0,0.0
0.0,0.0,11.4,24.64,4.71,1.27,11.47,0.0,5.33,214379,0.0,41.17
7.22,9.49,2.79,7.29,4.18,7.44,25.59,19.43,0.0,219671,14.29,2.3
2.8,17.08,10.08,20.62,4.01,5.43,7.87,12.76,4.6,82628,3.17,11.57
3.35,14.87,11.43,21.57,3.39,5.4,6.74,12.9,4.1,145241,3.79,12.47
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34784,0.0,0.0
0.0,7.94,0.0,0.0,0.0,91.87,0.0,0.0,0.0,103976,0.0,0.2
0.0,0.0,26.98,0.0,0.0,0.0,0.0,0.0,0.0,215675,73.02,0.0
0.17,18.59,15.68,13.06,5.64,5.22,7.49,5.44,10.21,180530,5.45,13.06
1.11,26.54,11.93,13.44,7.72,2.27,4.25,7.95,1.59,191528,1.04,22.18
0.0,18.69,13.49,26.48,6.62,4.01,4.9,16.31,0.0,149822,1.19,8.32
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103643,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233018,0.0,0.0
1.02,6.85,15.42,26.61,0.63,1.12,16.35,13.25,0.0,156275,0.0,18.75
0.84,17.84,15.81,11.81,1.66,6.5,17.0,9.89,5.21,222281,0.0,13.45
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203768,0.0,0.0
1.71,10.12,9.52,37.75,0.89,0.31,5.0,13.19,0.49,232010,0.0,21.01
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85013,0.0,0.0
2.45,15.89,11.47,22.58,5.16,4.69,6.61,12.64,2.16,228761,2.15,14.2
0.0,4.48,18.99,31.36,2.17,1.47,6.11,22.15,1.34,196820,0.0,11.93
0.0,26.29,18.18,21.53,7.35,0.0,7.82,4.42,0.0,44936,0.0,14.41
3.57,13.78,11.88,22.97,2.45,5.44,7.79,14.51,2.47,220445,3.31,11.82
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94904,0.0,0.0
3.27,15.29,21.58,8.0,6.75,18.69,4.08,11.82,1.76,47942,0.38,8.39
3.25,18.94,13.12,25.46,2.22,4.63,5.67,12.89,3.78,222551,2.12,7.91
1.89,14.9,12.77,17.04,9.13,2.91,19.28,9.0,2.67,151973,1.47,8.95
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106883,0.0,0.0
3.45,17.81,8.2,24.42,3.42,2.39,2.24,15.02,3.46,203219,4.9,14.69
1.55,22.92,13.64,10.35,8.03,11.4,5.09,5.6,8.28,155033,3.5,9.64
2.27,8.5,15.88,18.11,6.53,0.95,3.8,24.1,0.0,202418,0.0,19.86
1.04,12.34,12.02,13.56,6.03,13.93,3.48,9.45,5.16,178442,5.83,17.16
4.25,23.02,8.24,11.89,2.86,8.47,7.33,13.92,4.18,138266,6.34,9.5
7.16,5.07,4.68,55.19,0.0,0.0,0.0,14.68,0.0,124217,0.0,13.22
1.58,6.05,17.04,30.74,1.34,0.0,3.62,23.05,5.95,31814,0.0,10.63
0.0,4.98,14.67,26.11,3.56,0.0,6.89,31.19,0.0,169406,0.0,12.59
6.14,21.21,6.76,8.27,3.88,7.73,8.86,16.96,6.74,251603,6.47,6.98
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180197,0.0,0.0
2.84,30.85,6.25,10.65,2.87,14.0,5.62,18.16,0.0,28547,1.19,7.57
3.24,15.79,10.35,23.08,2.27,6.0,7.13,14.96,2.18,95075,2.83,12.18
16.52,25.48,4.55,33.23,2.06,0.0,0.0,3.72,2.62,252314,0.0,11.83
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235943,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136088,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79559,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69812,0.0,0.0
0.0,0.0,0.0,1.12,0.34,0.0,0.0,0.0,97.67,240794,0.0,0.87
0.0,3.72,0.0,89.63,0.0,0.0,0.0,0.0,0.0,209969,0.0,6.65
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34748,0.0,0.0
0.0,15.52,17.38,0.0,21.0,0.0,0.0,0.0,0.0,58670,46.1,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121985,0.0,0.0
1.7,16.64,18.48,11.95,5.6,3.87,5.72,12.63,6.05,105929,3.14,14.22
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161675,0.0,0.0
5.84,20.05,5.62,9.69,4.49,10.4,11.38,6.88,8.55,161882,10.12,6.98
0.0,34.97,16.38,8.81,3.95,9.6,0.0,3.28,9.04,115136,4.38,9.6
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,168830,0.0,0.0
2.19,14.81,4.85,31.17,2.51,0.0,2.47,17.56,2.88,157850,0.0,21.55
3.04,17.47,9.76,19.62,5.21,9.18,6.97,9.57,2.8,196802,4.32,12.06
18.34,0.01,9.84,0.0,36.08,0.0,0.0,0.0,0.0,112733,35.73,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109511,0.0,0.0
3.15,17.66,12.34,18.71,4.49,5.65,6.61,11.51,4.99,199412,3.29,11.6
0.0,17.71,12.6,19.61,6.05,0.0,8.55,14.47,3.87,141182,5.01,12.14
,,,,,,,,,64502,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,90557,0.0,0.0
5.39,20.84,8.25,23.52,5.99,4.99,12.6,1.32,2.83,172376,0.54,13.75
0.83,43.97,6.32,1.71,4.84,3.56,12.32,1.88,6.37,196721,1.47,16.76
0.0,17.31,13.26,8.52,3.29,5.74,7.09,7.17,14.25,148238,11.41,11.95
0.0,19.73,21.74,15.76,4.6,6.85,0.0,12.42,7.09,39977,0.0,11.82
0.0,13.36,25.24,13.84,3.13,0.0,7.19,23.33,0.0,244376,0.0,13.91
0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.0,98.34,217979,0.0,0.81
0.0,18.85,9.96,16.76,7.55,6.03,15.66,9.51,0.0,173393,0.0,15.68
0.3,28.48,19.62,14.61,6.2,4.92,2.4,2.75,4.51,41165,2.33,13.88
1.74,20.25,13.44,11.68,4.3,4.57,8.61,6.49,9.12,238148,5.26,14.55
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212003,0.0,0.0
0.02,0.2,0.09,0.0,0.01,0.0,0.0,0.0,99.45,243818,0.0,0.23
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67706,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237671,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110699,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107459,0.0,0.0
3.31,16.89,12.02,17.61,3.7,5.4,6.45,12.79,5.67,123335,3.55,12.61
3.27,18.39,12.89,6.11,7.85,7.76,13.62,12.7,2.68,243044,3.97,10.75
0.0,17.53,24.44,18.28,6.77,0.79,3.98,2.51,11.97,224945,0.0,13.73
4.39,25.0,13.83,11.73,3.55,4.44,9.29,13.51,0.0,66527,0.0,14.27
2.26,16.95,13.09,23.09,2.38,2.54,11.59,13.03,2.75,126593,0.0,12.31
,,,,,,,,,111554,,
1.0,0.0,0.96,0.0,0.97,0.0,0.74,0.0,93.11,183221,0.0,3.22
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83735,0.0,0.0
8.33,29.7,5.42,18.12,0.0,9.91,5.16,5.71,0.0,137033,0.0,17.65
1.22,14.44,20.57,8.81,9.24,9.52,4.18,2.49,4.0,214064,0.0,25.52
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85472,0.0,0.0
1.89,12.13,11.23,18.66,6.04,7.43,7.58,10.46,3.62,208655,3.79,17.17
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183725,0.0,0.0
1.44,10.57,17.51,14.89,10.46,4.23,5.78,7.24,10.53,243386,2.78,14.55
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194525,0.0,0.0
6.93,23.57,8.13,5.43,0.63,8.71,10.94,16.35,5.81,95210,5.2,8.31
0.02,12.39,19.42,18.01,2.79,4.31,4.3,12.87,10.49,72458,5.11,10.29
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164141,0.0,0.0
0.0,0.0,0.0,0.0,5.42,94.58,0.0,0.0,0.0,117980,0.0,0.0
0.69,10.84,14.07,15.0,11.58,2.77,8.5,8.36,6.55,81962,3.92,17.72
1.27,20.22,9.79,20.77,10.58,6.88,3.84,3.82,12.27,112400,5.18,5.38
4.65,15.01,11.78,21.1,1.77,5.69,4.95,15.89,1.91,137393,3.11,14.15
0.0,9.66,35.04,21.94,4.5,0.0,1.47,11.73,2.14,51155,0.0,13.53
0.01,13.37,16.81,8.0,6.72,7.12,12.29,6.4,10.59,229247,9.93,8.77
0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,83753,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199673,0.0,0.0
2.22,16.02,13.89,17.75,5.34,3.1,9.03,12.1,7.58,72116,2.68,10.29
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43532,0.0,100.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74492,0.0,0.0
4.06,21.26,9.42,12.81,6.82,7.07,10.36,8.72,3.43,49319,3.25,12.79
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54035,0.0,0.0
2.32,9.38,17.2,21.28,6.19,2.57,7.07,11.29,2.32,96524,2.57,17.81
5.15,28.4,11.01,10.64,10.46,1.25,5.77,7.74,0.0,188180,4.22,15.37
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240065,0.0,0.0
5.25,18.94,12.88,8.96,3.84,3.43,17.24,14.97,3.23,154322,1.14,10.12
3.9,23.02,5.24,10.81,2.2,8.9,7.53,14.19,7.89,42551,8.26,8.06
