tag,3yrs_treynor_ratio_fund,3_years_alpha_fund,3years_category_std,3yrs_sharpe_ratio_fund,3yrs_treynor_ratio_category,3_years_return_mean_annual_fund,fund_beta_3years,3years_fund_r_squared,3years_fund_std,category_beta_3years,fund_return_3years,3_years_alpha_category,3_years_return_mean_annual_category,3yrs_sharpe_ratio_category,3years_category_r_squared,3_years_return_category
64097,5.42,-1.21,0.11,0.52,0.06,0.58,0.97,90.37,10.8,0.01,6.56,-0.01,0.01,0.01,0.9,6.62
56546,14.23,4.21,0.04,0.96,0.3,0.48,0.32,4.06,4.57,0.0,5.78,0.05,0.01,0.01,0.04,6.97
105506,5.93,-1.01,0.09,0.94,0.06,0.77,1.35,95.24,8.46,0.01,9.28,-0.01,0.01,0.01,0.95,9.94
56645,15.21,3.11,0.16,1.12,0.12,1.42,1.05,64.51,14.06,0.01,17.32,-0.0,0.01,0.01,0.7,15.88
207287,12.46,0.26,0.13,1.08,0.13,1.06,0.93,89.17,10.52,0.01,12.84,0.01,0.01,0.01,0.84,15.35
53837,3.92,4.22,0.06,0.75,0.05,0.54,1.32,31.02,6.94,0.01,6.47,0.03,0.0,0.01,0.25,5.35
58517,-0.14,-0.37,0.01,-0.03,-0.01,0.11,0.24,70.56,0.99,0.0,1.26,-0.01,0.0,-0.0,0.7,1.11
27179,5.76,-0.93,0.07,0.92,0.06,0.59,1.0,98.47,6.16,0.01,7.05,-0.01,0.01,0.01,0.89,7.44
185705,0.63,0.12,0.04,-0.1,0.05,0.08,-0.55,26.75,3.08,-0.0,0.94,-0.0,0.0,0.0,0.08,0.71
56996,1.46,1.49,0.06,0.48,0.02,0.36,1.98,86.49,6.27,0.02,4.18,0.02,0.0,0.01,0.86,4.26
52559,0.19,-0.53,0.03,0.08,0.01,0.13,0.99,94.51,3.02,0.01,1.48,0.0,0.0,0.0,0.88,2.37
108710,4.11,-2.87,0.07,0.62,0.05,0.53,1.18,81.35,8.04,0.01,6.16,-0.02,0.01,0.01,0.82,6.14
99323,11.54,-0.52,0.14,0.99,0.11,1.1,1.03,85.38,12.0,0.01,13.19,-0.01,0.01,0.01,0.81,14.18
159749,6.09,-0.87,0.09,0.96,0.06,0.85,1.47,95.22,9.2,0.01,10.22,-0.01,0.01,0.01,0.95,9.94
72323,-0.19,-1.46,0.03,-0.04,0.01,0.1,0.92,97.25,3.23,0.01,1.12,-0.01,0.0,0.0,0.97,1.97
160595,6.16,-0.79,0.1,0.94,0.05,0.9,1.55,89.08,10.08,0.02,10.83,-0.02,0.01,0.01,0.87,9.6
57950,6.03,6.41,0.06,1.1,0.05,0.64,1.21,24.31,6.58,0.01,7.78,0.03,0.0,0.01,0.25,5.35
132182,6.33,-0.5,0.07,1.01,0.06,0.79,1.3,97.08,8.1,0.01,9.56,-0.01,0.01,0.01,0.96,8.34
179315,8.06,-4.09,0.16,0.67,0.12,0.98,1.21,69.48,15.59,0.01,11.04,-0.0,0.01,0.01,0.7,15.88
165032,5.73,-0.56,0.04,0.84,0.06,0.39,0.58,82.98,3.92,0.01,4.64,-0.0,0.0,0.01,0.88,4.79
220409,7.41,3.05,0.03,0.87,0.06,0.39,0.46,12.21,3.84,0.0,4.71,0.03,0.0,0.01,0.29,4.58
162134,1.28,0.5,0.03,0.43,0.01,0.21,0.94,94.26,2.86,0.01,2.49,0.0,0.0,0.0,0.88,2.37
177335,8.14,-3.77,0.16,0.68,0.12,0.89,1.1,73.64,13.71,0.01,10.22,-0.0,0.01,0.01,0.7,15.88
205091,0.12,-0.81,0.03,0.04,0.01,0.12,0.63,96.22,2.24,0.01,1.37,-0.0,0.0,0.0,0.95,2.09
35144,12.44,0.26,0.13,1.09,0.13,1.11,0.98,90.42,11.05,0.01,13.47,0.01,0.01,0.01,0.84,15.35
52577,1.67,1.06,0.04,0.5,0.02,0.27,1.14,74.58,3.91,0.01,3.2,0.02,0.0,0.01,0.71,3.71
199439,5.37,-1.95,0.09,0.86,0.06,0.81,1.56,95.56,9.8,0.01,9.68,-0.01,0.01,0.01,0.95,9.94
65717,6.83,0.16,0.11,0.63,0.05,0.75,1.07,86.3,12.11,0.01,8.58,-0.02,0.01,0.0,0.85,5.92
122543,6.12,-0.6,0.06,0.98,0.06,0.62,1.02,98.62,6.27,0.01,7.53,-0.01,0.01,0.01,0.97,7.51
130481,5.92,-1.16,0.09,0.94,0.06,0.87,1.55,96.09,9.69,0.01,10.48,-0.01,0.01,0.01,0.95,9.94
93608,,,0.13,,0.13,,,,,0.01,0.0,0.01,0.01,0.01,0.84,15.35
171917,10.02,2.75,0.11,0.85,0.1,0.86,0.89,79.36,10.58,0.01,10.23,0.03,0.01,0.01,0.73,9.96
247616,0.66,-0.06,0.03,0.22,0.01,0.15,0.74,86.52,2.36,0.01,1.78,0.0,0.0,0.0,0.88,2.37
46295,-3.2,-7.69,0.12,-0.22,0.05,-0.07,0.79,77.28,9.48,0.01,-1.24,-0.02,0.01,0.0,0.8,5.79
136295,5.85,-1.02,0.07,0.94,0.06,0.71,1.23,98.38,7.58,0.01,8.49,-0.01,0.01,0.01,0.96,8.34
46511,7.46,0.44,0.05,1.12,0.05,0.5,0.64,88.52,4.16,0.01,6.08,-0.01,0.0,0.01,0.88,5.53
122894,6.17,-0.7,0.08,0.98,0.06,0.78,1.31,97.14,8.15,0.01,9.39,-0.01,0.01,0.01,0.97,9.13
129599,9.4,1.94,0.11,0.73,0.1,0.71,0.75,65.22,9.86,0.01,8.36,0.03,0.01,0.01,0.73,9.96
188054,17.78,9.32,0.16,1.34,0.17,1.84,1.22,62.49,15.52,0.01,23.07,0.08,0.02,0.01,0.57,21.78
76859,5.12,-1.18,0.12,0.43,0.05,0.51,0.86,65.66,11.17,0.01,5.67,-0.02,0.01,0.0,0.75,6.01
118934,6.18,-2.16,0.11,0.48,0.06,0.56,0.81,51.89,11.36,0.01,6.32,-0.02,0.01,0.0,0.53,6.27
158183,3.48,-6.2,0.18,0.32,0.05,0.79,1.54,36.98,25.39,0.01,6.64,-0.04,0.01,0.0,0.42,7.36
201644,-1.26,-0.8,0.01,-0.39,-0.03,0.07,0.4,87.74,1.29,0.0,0.79,-0.01,0.0,-0.01,0.67,0.76
231506,-3.4,-17.61,0.14,-0.19,0.11,-0.14,1.22,69.83,15.64,0.01,-2.86,-0.01,0.01,0.01,0.81,14.18
178496,8.34,-3.5,0.11,0.77,0.11,0.83,1.01,93.51,11.19,0.01,9.7,-0.01,0.01,0.01,0.92,11.84
134369,-21.68,3.4,0.03,1.14,-0.28,0.38,-0.15,2.47,2.82,-0.0,4.62,0.04,0.0,0.01,0.04,4.71
157499,7.14,-4.3,0.04,-0.95,0.05,-0.3,-0.69,15.71,5.06,-0.0,-3.61,-0.0,0.0,0.0,0.08,0.71
47294,8.18,-3.5,0.11,0.74,0.09,0.79,0.97,90.58,10.91,0.01,9.22,-0.02,0.01,0.01,0.84,10.01
144170,8.91,-3.54,0.14,0.78,0.11,1.1,1.29,81.82,15.32,0.01,12.78,-0.01,0.01,0.01,0.81,14.18
205586,8.64,-3.5,0.16,0.72,0.08,1.02,1.2,71.25,15.32,0.01,11.71,-0.05,0.01,0.01,0.68,10.17
196433,14.01,6.37,0.16,1.1,0.17,1.77,1.44,63.83,18.08,0.01,21.47,0.08,0.02,0.01,0.57,21.78
197351,1.22,-0.18,0.04,0.36,0.01,0.2,0.89,98.13,3.1,0.01,2.37,-0.0,0.0,0.0,0.94,2.55
124316,,,0.03,,0.25,,,,,0.0,0.0,0.02,0.0,0.01,0.14,3.71
199808,2.27,1.7,0.03,0.74,0.01,0.32,1.13,93.04,3.45,0.01,3.85,0.0,0.0,0.0,0.88,2.37
155888,18.46,5.69,0.04,1.49,0.3,0.6,0.33,5.98,3.9,0.0,7.39,0.05,0.01,0.01,0.04,6.97
151748,12.11,0.03,0.13,1.03,0.13,1.26,1.14,84.13,13.41,0.01,15.15,0.01,0.01,0.01,0.84,15.35
135269,6.06,-0.94,0.09,0.97,0.06,0.87,1.51,96.44,9.42,0.01,10.46,-0.01,0.01,0.01,0.95,9.94
176435,5.48,-1.39,0.07,0.79,0.06,0.68,1.24,77.12,8.64,0.01,8.09,-0.01,0.01,0.01,0.89,7.44
28034,-0.77,-0.99,0.03,-0.23,-0.0,0.07,0.66,86.64,2.11,0.01,0.78,-0.01,0.0,-0.0,0.89,0.98
50813,2.87,1.81,0.04,0.85,0.02,0.31,0.87,77.18,2.89,0.01,3.78,0.02,0.0,0.01,0.71,3.71
119159,4.34,-2.41,0.11,0.44,0.06,0.55,1.09,92.74,11.95,0.01,6.02,-0.01,0.01,0.01,0.9,6.62
198989,4.08,-9.13,0.16,0.39,0.06,0.64,1.29,73.05,16.19,0.01,6.56,-0.06,0.01,0.0,0.6,8.3
142568,,,0.11,,0.1,,,,,0.01,0.0,0.03,0.01,0.01,0.73,9.96
106289,11.88,1.68,0.13,0.69,0.07,0.7,0.58,31.7,10.36,0.01,8.18,-0.01,0.01,0.0,0.3,6.0
126233,11.3,4.05,0.11,0.98,0.1,1.01,0.96,84.77,11.04,0.01,12.17,0.03,0.01,0.01,0.73,9.96
57167,13.02,0.96,0.13,1.0,0.07,1.2,1.01,69.39,13.01,0.01,14.44,-0.05,0.01,0.01,0.78,8.55
70730,12.28,0.17,0.13,1.05,0.13,1.22,1.1,86.13,12.71,0.01,14.77,0.01,0.01,0.01,0.84,15.35
38411,7.76,-4.29,0.11,0.68,0.09,0.87,1.11,79.73,13.36,0.01,9.92,-0.02,0.01,0.01,0.84,10.01
211292,12.28,4.78,0.13,0.94,0.1,1.04,0.91,65.14,11.88,0.01,12.43,0.02,0.01,0.01,0.63,9.95
245717,9.33,2.57,0.07,1.38,0.06,0.92,1.08,88.68,7.04,0.01,11.36,-0.01,0.01,0.01,0.89,7.44
101717,6.28,-0.56,0.08,1.0,0.06,0.78,1.29,97.04,8.0,0.01,9.38,-0.01,0.01,0.01,0.97,9.13
240371,0.78,-0.6,0.03,0.24,0.01,0.17,0.96,98.14,3.38,0.01,2.04,-0.0,0.0,0.0,0.95,2.09
157283,-0.17,-0.89,0.03,-0.04,0.01,0.1,1.0,99.59,2.99,0.01,1.12,0.0,0.0,0.0,0.88,2.37
178190,2.09,0.4,0.02,0.44,-0.02,0.21,0.6,49.73,2.95,0.0,2.54,-0.01,0.0,-0.0,0.76,1.25
233585,10.94,-1.1,0.11,0.98,0.11,1.0,0.98,94.22,10.89,0.01,12.07,-0.01,0.01,0.01,0.92,11.84
74258,7.21,0.38,0.04,1.09,0.06,0.62,0.87,88.85,5.64,0.0,7.58,-0.0,0.0,0.01,0.74,4.01
27071,-0.25,-0.87,0.03,-0.07,-0.0,0.09,0.9,95.37,2.74,0.01,1.07,-0.01,0.0,-0.0,0.89,0.98
186461,9.45,2.21,0.11,0.83,0.1,0.81,0.88,84.36,10.1,0.01,9.6,0.03,0.01,0.01,0.73,9.96
252188,11.14,-0.93,0.13,0.99,0.13,1.04,1.01,92.51,11.29,0.01,12.56,0.01,0.01,0.01,0.84,15.35
249740,9.68,-2.12,0.11,0.87,0.11,0.88,0.95,90.98,10.64,0.01,10.45,-0.01,0.01,0.01,0.92,11.84
103868,0.09,-0.45,0.01,0.03,-0.01,0.11,0.34,71.86,1.38,0.0,1.32,-0.01,0.0,-0.0,0.7,1.11
178064,7.3,4.8,0.05,0.67,0.06,0.55,0.72,7.07,7.93,0.01,6.52,0.03,0.0,0.01,0.17,5.12
205172,6.73,-0.01,0.04,1.05,0.07,0.47,0.65,93.45,4.1,0.01,5.67,-0.0,0.0,0.01,0.92,5.56
42056,9.59,-2.05,0.16,0.7,0.08,1.04,1.1,55.0,15.93,0.01,11.84,-0.05,0.01,0.01,0.68,10.17
230624,4.92,-1.22,0.12,0.4,0.05,0.45,0.76,60.67,10.35,0.01,5.05,-0.02,0.01,0.0,0.75,6.01
127799,2.99,-3.44,0.11,0.31,0.06,0.39,0.97,87.5,10.98,0.01,4.2,-0.01,0.01,0.01,0.9,6.62
129239,,,0.05,,0.03,,,,,0.01,0.0,-0.02,0.0,0.0,0.5,2.79
131372,0.45,-0.13,0.03,0.12,0.0,0.13,0.46,55.47,1.81,0.01,1.5,-0.0,0.0,0.0,0.59,1.65
102095,6.85,0.07,0.05,1.09,0.06,0.53,0.75,98.19,4.62,0.01,6.44,-0.0,0.01,0.01,0.95,6.16
74366,1.82,1.95,0.1,0.26,0.01,0.35,1.29,11.07,11.41,0.01,3.65,0.01,0.0,0.0,0.12,2.72
228905,5.74,-1.36,0.09,0.92,0.06,0.82,1.49,97.53,9.22,0.01,9.83,-0.01,0.01,0.01,0.96,9.92
73016,9.76,-2.39,0.11,0.89,0.11,1.02,1.11,93.65,12.35,0.01,12.17,-0.01,0.01,0.01,0.92,11.84
157526,1.85,0.45,0.03,0.53,0.02,0.27,1.07,92.61,3.84,0.01,3.27,0.0,0.0,0.0,0.9,2.76
41228,-6.19,-3.75,0.07,-0.26,0.06,0.01,0.21,25.03,4.5,0.01,-0.02,-0.02,0.0,0.01,0.67,4.93
143873,6.23,-0.4,0.05,0.99,0.06,0.53,0.81,97.04,5.05,0.01,6.36,-0.0,0.01,0.01,0.94,6.57
148913,8.22,-3.45,0.11,0.71,0.09,0.81,0.99,80.58,11.82,0.01,9.42,-0.02,0.01,0.01,0.84,10.01
224702,1.43,0.66,0.05,0.41,0.01,0.22,0.94,67.83,3.33,0.01,2.64,0.0,0.0,0.0,0.42,2.17
104282,2.82,1.17,0.03,0.77,0.01,0.31,0.86,87.76,3.16,0.01,3.71,-0.0,0.0,0.0,0.95,2.09
179297,3.12,-3.6,0.12,0.32,0.05,0.46,1.1,80.89,12.91,0.01,4.73,-0.01,0.01,0.0,0.83,6.7
118052,8.02,1.47,0.13,0.68,0.08,0.87,1.08,74.45,13.28,0.01,9.99,0.01,0.01,0.01,0.67,9.11
81080,2.6,1.74,0.04,0.68,0.02,0.31,0.94,59.43,3.58,0.01,3.75,0.02,0.0,0.01,0.71,3.71
216233,2.79,1.38,0.04,0.8,0.02,0.27,0.69,72.07,2.38,0.01,3.21,0.02,0.0,0.01,0.71,3.71
190349,5.86,-0.85,0.11,0.57,0.05,0.63,1.0,95.34,10.84,0.01,7.17,-0.02,0.01,0.0,0.85,5.92
212354,10.25,-1.75,0.16,0.82,0.12,1.19,1.22,70.24,15.69,0.01,13.85,-0.0,0.01,0.01,0.7,15.88
55529,7.69,0.91,0.11,0.63,0.1,0.71,0.89,69.11,11.31,0.01,8.13,0.03,0.01,0.01,0.73,9.96
194768,,,0.09,,-0.05,,,,,0.01,0.0,-0.0,-0.0,-0.0,0.42,-2.14
248498,4.79,-1.4,0.07,0.68,0.05,0.42,0.77,75.57,5.37,0.01,4.96,-0.02,0.01,0.01,0.82,6.14
90638,0.54,-0.06,0.03,0.14,0.01,0.12,0.26,53.43,1.03,0.01,1.43,0.0,0.0,0.0,0.88,2.37
155042,13.99,1.64,0.13,1.21,0.13,1.26,1.02,91.73,11.39,0.01,15.49,0.01,0.01,0.01,0.84,15.35
133955,10.62,3.5,0.13,0.83,0.08,0.95,0.93,65.5,12.15,0.01,11.18,0.01,0.01,0.01,0.67,9.11
181250,-16.64,0.79,0.0,2.16,0.19,0.17,-0.05,15.14,0.29,0.0,2.06,0.0,0.0,0.01,0.17,1.75
226106,12.27,0.06,0.11,1.1,0.11,1.1,0.98,96.73,10.74,0.01,13.37,-0.01,0.01,0.01,0.92,11.84
62207,5.27,-0.27,0.04,0.51,0.06,0.19,0.2,35.44,2.01,0.0,2.32,-0.0,0.0,0.01,0.74,4.01
66482,9.69,-2.3,0.11,0.87,0.09,0.96,1.04,91.9,11.64,0.01,11.38,-0.02,0.01,0.01,0.84,10.01
58373,,,,,,,,,,,0.93,,,,,1.87
235151,-0.58,-0.33,0.01,-0.17,0.03,0.1,0.25,79.42,0.88,0.0,1.15,0.0,0.0,0.0,0.6,1.87
251135,66.43,6.9,0.04,1.5,0.3,0.69,0.11,0.47,4.56,0.0,8.48,0.05,0.01,0.01,0.04,6.97
173771,-1.84,-0.58,0.01,-0.54,0.03,0.07,0.23,78.47,0.81,0.0,0.88,0.0,0.0,0.0,0.6,1.87
228959,-3.21,-17.18,0.0,-0.07,0.0,-0.02,1.3,35.7,23.42,0.0,-2.89,0.0,0.0,0.0,0.0,0.0
115361,20.68,3.92,0.04,1.47,0.3,0.45,0.2,4.6,2.74,0.0,5.45,0.05,0.01,0.01,0.04,6.97
245132,6.86,3.83,0.03,1.15,0.06,0.47,0.64,25.12,3.69,0.0,5.68,0.03,0.0,0.01,0.29,4.58
223604,5.07,1.88,0.03,0.85,0.06,0.29,0.44,24.59,2.58,0.0,3.53,0.03,0.0,0.01,0.29,4.58
38744,-10.42,-1.79,0.0,-2.06,0.19,-0.03,0.16,34.43,0.78,0.0,-0.38,0.0,0.0,0.01,0.17,1.75
165878,8.89,-3.08,0.11,0.83,0.11,0.88,1.03,98.11,11.17,0.01,10.47,-0.01,0.01,0.01,0.92,11.84
248111,4.62,-1.52,0.07,0.66,0.05,0.41,0.77,75.62,5.37,0.01,4.83,-0.02,0.01,0.01,0.82,6.14
46718,0.83,0.02,0.01,0.22,0.03,0.12,0.21,59.52,0.82,0.0,1.47,0.0,0.0,0.0,0.6,1.87
131777,6.1,-0.45,0.04,0.97,0.07,0.47,0.73,96.78,4.51,0.01,5.74,-0.0,0.0,0.01,0.92,5.56
36413,5.63,-0.95,0.12,0.52,0.05,0.59,0.95,82.43,11.07,0.01,6.64,0.0,0.01,0.01,0.81,8.05
247634,0.05,-1.77,0.1,0.06,-0.0,0.16,3.13,89.66,9.76,0.03,1.45,-0.02,0.0,0.0,0.89,1.33
121823,,,0.04,,0.02,,,,,0.01,0.0,0.02,0.0,0.01,0.71,3.71
101393,-3.37,-2.21,0.05,-0.21,0.03,0.05,0.23,17.87,3.26,0.01,0.53,-0.02,0.0,0.0,0.5,2.79
172268,2.09,0.8,0.04,0.59,0.03,0.32,1.21,92.5,4.33,0.01,3.81,0.01,0.0,0.01,0.84,3.85
198818,10.89,1.18,0.2,-0.99,0.19,-0.74,-0.94,98.39,10.23,-0.01,-8.97,-0.04,-0.02,-0.01,0.72,-19.79
174077,-2.64,-1.01,0.01,-0.63,-0.01,0.05,0.25,68.58,1.07,0.0,0.63,-0.01,0.0,-0.0,0.7,1.11
45530,11.05,-0.88,0.11,0.98,0.11,0.91,0.87,92.34,9.76,0.01,10.94,-0.01,0.01,0.01,0.92,11.84
30419,,,0.06,,0.05,,,,,0.01,0.0,0.03,0.0,0.01,0.25,5.35
87920,8.09,1.04,0.01,1.29,0.03,0.2,0.14,22.55,0.87,0.0,2.46,0.0,0.0,0.0,0.6,1.87
137249,6.27,-0.4,0.05,1.0,0.06,0.56,0.88,98.3,5.43,0.01,6.82,-0.0,0.01,0.01,0.94,6.57
69902,10.36,-1.52,0.11,0.93,0.11,0.91,0.92,93.57,10.26,0.01,10.86,-0.01,0.01,0.01,0.92,11.84
83492,7.22,0.38,0.05,1.14,0.06,0.62,0.86,97.65,5.34,0.01,7.54,-0.0,0.01,0.01,0.95,6.16
203975,10.69,3.15,0.13,0.85,0.1,0.86,0.84,69.04,10.64,0.01,10.26,0.02,0.01,0.01,0.63,9.95
72629,8.47,-2.68,0.08,0.67,0.08,0.72,0.83,67.85,10.84,0.01,8.33,-0.03,0.0,0.0,0.55,4.36
217241,8.39,-1.04,0.07,0.4,0.06,0.37,0.35,22.49,7.9,0.01,4.24,-0.02,0.0,0.01,0.67,4.93
48626,6.91,0.11,0.11,0.63,0.06,0.63,0.87,87.59,9.84,0.01,7.33,-0.01,0.01,0.01,0.9,6.62
250550,5.52,-1.37,0.08,0.89,0.06,0.66,1.21,97.78,7.47,0.01,7.96,-0.01,0.01,0.01,0.97,9.13
212318,4.4,-3.76,0.07,0.65,0.06,0.56,1.23,89.51,8.57,0.01,6.57,-0.01,0.01,0.01,0.89,7.44
70379,0.41,-1.0,0.04,0.13,0.01,0.15,1.02,96.71,3.57,0.01,1.71,-0.0,0.0,0.0,0.95,2.51
120140,1.58,0.18,0.01,0.47,0.03,0.14,0.23,77.34,0.8,0.0,1.65,0.0,0.0,0.0,0.6,1.87
249623,15.09,3.67,0.16,1.11,0.12,1.7,1.28,64.24,17.17,0.01,20.63,-0.0,0.01,0.01,0.7,15.88
113273,11.48,-0.67,0.14,0.99,0.11,1.35,1.29,86.26,14.93,0.01,16.12,-0.01,0.01,0.01,0.81,14.18
132785,13.68,2.4,0.03,0.91,0.06,0.32,0.19,3.93,2.74,0.0,3.86,0.03,0.0,0.01,0.29,4.58
214055,-7.4,-1.65,0.09,-0.47,-0.05,-0.27,0.66,43.66,9.56,0.01,-3.61,-0.0,-0.0,-0.0,0.42,-2.14
171863,12.63,0.44,0.13,1.1,0.13,1.18,1.03,90.02,11.68,0.01,14.32,0.01,0.01,0.01,0.84,15.35
222614,12.55,0.3,0.11,1.1,0.11,0.99,0.86,90.84,9.7,0.01,12.09,-0.01,0.01,0.01,0.92,11.84
166022,7.83,-4.08,0.11,0.74,0.11,0.8,1.03,98.15,11.16,0.01,9.36,-0.01,0.01,0.01,0.92,11.84
120563,8.37,1.59,0.11,0.72,0.1,0.82,0.98,77.27,11.8,0.01,9.5,0.03,0.01,0.01,0.73,9.96
253421,10.06,-1.92,0.16,0.8,0.08,1.15,1.2,67.59,15.68,0.01,13.38,-0.05,0.01,0.01,0.68,10.17
102428,-4.65,-2.77,0.11,-0.3,0.05,-0.29,0.89,87.85,11.94,0.01,-4.04,-0.02,0.01,0.0,0.85,5.92
194354,4.55,-2.32,0.07,0.74,0.06,0.54,1.13,97.26,6.99,0.01,6.42,-0.01,0.01,0.01,0.89,7.44
71648,-27.18,3.67,0.03,1.18,-0.28,0.4,-0.13,1.7,2.94,-0.0,4.92,0.04,0.0,0.01,0.04,4.71
214379,9.71,-1.45,0.16,0.64,0.06,0.83,0.84,45.0,13.4,0.01,9.43,-0.06,0.01,0.0,0.6,8.3
219671,,,0.07,,0.06,,,,,0.01,0.0,-0.02,0.0,0.01,0.67,4.93
82628,5.68,-0.96,0.05,0.91,0.05,0.56,0.96,97.17,5.94,0.01,6.74,-0.01,0.0,0.01,0.88,5.53
145241,3.67,-2.44,0.05,0.59,0.05,0.37,0.83,94.96,5.22,0.01,4.34,-0.01,0.0,0.01,0.88,5.53
34784,,,0.03,,0.01,,,,,0.01,0.0,0.0,0.0,0.0,0.88,2.37
103976,19.77,4.68,0.04,0.98,0.3,0.51,0.25,2.18,4.9,0.0,6.21,0.05,0.01,0.01,0.04,6.97
215675,10.3,2.89,0.08,1.37,0.08,0.83,0.86,71.02,6.26,0.01,10.18,0.01,0.01,0.01,0.72,10.21
180530,7.88,-3.9,0.13,0.71,0.07,0.8,1.02,87.3,11.65,0.01,9.29,-0.05,0.01,0.01,0.78,8.55
191528,4.6,-8.04,0.11,0.45,0.11,0.62,1.18,84.11,13.85,0.01,6.74,-0.01,0.01,0.01,0.92,11.84
149822,8.84,-3.34,0.11,0.82,0.11,0.94,1.11,96.16,12.15,0.01,11.11,-0.01,0.01,0.01,0.92,11.84
103643,1.74,1.49,0.06,0.36,0.05,0.32,1.34,31.98,6.96,0.01,3.62,0.03,0.0,0.01,0.25,5.35
233018,0.07,-0.42,0.03,0.03,0.0,0.11,0.64,68.01,2.31,0.01,1.34,-0.0,0.0,0.0,0.59,1.65
156275,1.66,-4.9,0.12,0.2,0.05,0.3,1.03,84.92,11.78,0.01,3.0,0.0,0.01,0.01,0.81,8.05
222281,3.65,-2.71,0.11,0.36,0.06,0.43,0.94,83.02,10.9,0.01,4.72,-0.01,0.01,0.01,0.9,6.62
203768,-0.01,-0.19,0.01,0.0,0.03,0.11,0.25,70.32,0.91,0.0,1.29,0.0,0.0,0.0,0.6,1.87
232010,14.22,2.1,0.13,1.17,0.13,1.41,1.12,82.68,13.27,0.01,17.25,0.01,0.01,0.01,0.84,15.35
85013,0.87,-0.48,0.04,0.26,0.01,0.17,0.89,96.11,3.14,0.01,2.06,-0.0,0.0,0.0,0.95,2.51
228761,6.05,-0.95,0.09,0.95,0.06,0.87,1.51,94.46,9.51,0.01,10.42,-0.01,0.01,0.01,0.95,9.54
196820,9.27,-3.21,0.14,0.81,0.11,1.16,1.32,82.53,15.61,0.01,13.52,-0.01,0.01,0.01,0.81,14.18
44936,8.63,1.89,0.12,0.78,0.05,0.89,1.06,88.48,11.9,0.01,10.43,0.0,0.01,0.01,0.81,8.05
