investment_class,currency,total_assets,yield,greatstone_rating,inception_date,tag,fund_size,return_ytd
Blend,USD,286480000.0,2.09,1,2008-02-27,157283,Large,2.82
Value,USD,515400000.0,1.67,5,2004-02-24,178190,Medium,2.99
Blend,USD,265730000.0,1.37,3,2017-03-09,233585,Large,12.4
Value,USD,681330000.0,3.53,,1987-04-13,74258,Large,9.09
Blend,USD,720710000.0,2.61,,2017-04-09,27071,Large,2.08
Value,USD,321560000.0,2.79,3,2015-06-04,186461,Large,9.18
Growth,USD,1700000000.0,0.25,2,2010-07-29,252188,Large,15.2
Blend,USD,54870000.0,0.66,2,1987-01-01,249740,Large,10.45
,USD,6640000000.0,1.24,,1994-09-19,103868,,1.2
Value,USD,262360000.0,6.69,3,2013-06-27,178064,Small,13.53
Blend,USD,3200000000.0,1.91,4,2007-01-31,205172,Large,5.88
Blend,USD,73930000.0,0.54,4,2010-05-31,42056,Small,13.28
Value,USD,1640000000.0,3.6,3,1996-07-02,230624,Large,8.64
Value,USD,1830000000.0,1.59,2,2011-12-29,127799,Large,7.65
Blend,USD,10480000.0,1.14,,2017-06-29,129239,Large,9.71
Value,USD,1110000000.0,2.12,,2010-03-30,131372,Large,2.75
Blend,USD,639020000.0,3.43,3,2006-12-28,102095,Large,6.6
,USD,69500000.0,1.29,3,2011-05-11,74366,,2.6
Blend,USD,34740000.0,2.01,3,2015-03-01,228905,Large,11.82
Blend,USD,1040000000.0,0.55,3,2015-09-29,73016,Large,12.84
Blend,USD,310860000.0,3.66,5,2018-01-24,157526,Medium,2.86
Value,USD,104450000.0,1.32,,2013-08-13,41228,Small,0.25
Blend,USD,4600000000.0,2.3,4,2011-05-30,143873,Large,7.28
Value,USD,2210000000.0,2.03,2,1977-06-30,148913,Large,11.26
Blend,USD,57960000.0,2.65,,1991-02-28,224702,Medium,3.23
,USD,4400000000.0,2.7,5,1993-07-19,104282,,2.92
Growth,USD,50540000.0,1.29,2,2015-11-30,179297,Medium,10.81
Blend,USD,730140000.0,2.58,3,2011-12-18,118052,Large,9.76
Blend,USD,1190000000.0,2.78,3,1995-06-27,81080,Small,5.38
Blend,USD,22570000.0,3.24,,2011-06-29,216233,Medium,4.17
Blend,USD,236360000.0,2.82,4,2000-02-29,190349,Large,10.59
Growth,USD,138800000.0,0.0,4,2016-07-24,212354,Small,14.83
Value,USD,86610000.0,1.59,2,2011-01-30,55529,Large,10.56
,USD,12080000.0,1.96,0,2017-09-20,194768,,1.41
Value,USD,3900000000.0,3.04,,2014-10-30,248498,Large,5.37
,USD,4050000.0,1.9,2,2015-05-31,90638,,0.81
Growth,USD,289190000.0,0.79,,2007-04-30,155042,Large,14.74
Blend,USD,531740000.0,0.91,4,2012-11-19,133955,Large,10.76
,USD,4380000000.0,2.53,4,2015-12-20,181250,,0.8
Growth,USD,414040000.0,1.06,3,2001-01-02,226106,Large,13.35
Value,USD,1840000000.0,1.55,2,2012-09-13,62207,Large,2.59
Blend,USD,5620000000.0,0.98,,2001-06-28,66482,Large,13.06
Value,USD,1050000000.0,1.41,4,2012-09-13,58373,Medium,-0.76
Value,USD,491500000.0,2.15,2,2015-08-06,235151,Large,1.2
Blend,USD,5090000000.0,7.07,3,2017-07-04,251135,Small,6.47
Value,USD,96810000.0,1.98,2,2010-06-20,173771,Medium,1.23
Value,USD,1850000.0,0.37,3,2000-06-18,228959,Large,19.24
Value,USD,2690000000.0,5.42,3,2012-10-25,115361,Small,5.39
Value,USD,262880000.0,4.68,4,2009-09-30,245132,Small,5.23
Blend,USD,45550000.0,3.83,,2014-04-29,223604,Small,4.39
,USD,18390000.0,1.7,,1991-09-17,38744,,-0.13
Blend,USD,1160000000.0,1.7,3,2008-09-01,165878,Large,12.38
Value,USD,3900000000.0,2.94,2,2012-11-29,248111,Large,5.37
Value,USD,6410000000.0,2.12,2,2011-07-14,46718,Medium,1.66
Blend,USD,196990000.0,2.81,3,2006-10-29,131777,Large,6.99
Growth,USD,10830000000.0,1.33,,2015-03-31,36413,Large,10.31
Growth,USD,3460000000.0,2.82,4,2001-02-11,247634,Large,4.63
Growth,USD,111290000.0,3.13,0,2017-04-19,121823,Medium,5.3
Value,USD,69180000.0,2.13,3,2013-12-18,101393,Large,2.21
Blend,USD,86660000.0,3.56,3,2015-06-21,172268,Small,2.99
,USD,1570000000.0,1.78,,2006-07-30,198818,,-10.6
Value,USD,601590000.0,0.93,2,2011-08-30,174077,Medium,1.17
Blend,USD,88780000.0,1.73,2,2011-12-28,45530,Large,13.83
Blend,USD,23080000.0,5.4,0,2016-12-05,30419,Small,4.34
Value,USD,3070000000.0,3.45,4,2013-04-30,87920,Small,2.22
Blend,USD,6130000000.0,2.94,3,2014-11-02,137249,Large,7.41
Blend,USD,307870000.0,1.68,,2016-09-29,69902,Large,13.82
Blend,USD,982880000.0,1.9,4,2003-11-05,83492,Large,7.41
Value,USD,91500000.0,1.06,4,2016-04-18,203975,Medium,8.36
,USD,6760000.0,0.04,5,2013-09-08,72629,,14.65
Blend,USD,48410000.0,0.0,2,2014-12-29,217241,Large,3.74
Blend,USD,815760000.0,2.25,,2006-01-30,48626,Large,10.58
Blend,USD,266850000.0,2.15,2,2012-11-29,250550,Large,9.25
Value,USD,37670000.0,0.36,2,2014-05-26,212318,Medium,6.75
Blend,USD,92590000.0,2.64,2,1996-04-08,70379,Medium,2.53
Value,USD,258430000.0,1.7,3,2005-04-28,120140,Medium,1.54
Growth,USD,759710000.0,0.0,3,2008-03-30,249623,Small,16.12
Growth,USD,5110000000.0,0.0,4,2017-11-19,113273,Medium,17.42
Blend,USD,890400000.0,4.01,2,2009-11-01,132785,Small,4.0
Value,USD,31650000.0,0.0,2,2007-03-01,214055,Medium,3.17
Growth,USD,1100000000.0,0.0,3,1997-07-20,171863,Large,14.65
Blend,USD,6170000000.0,1.66,3,1996-02-06,222614,Large,13.23
Blend,USD,1160000000.0,0.7,2,1997-08-10,166022,Large,12.13
Blend,USD,108480000.0,0.02,3,2006-02-28,120563,Large,9.86
Blend,USD,42590000.0,0.0,3,2001-11-25,253421,Small,14.64
Value,USD,,4.75,3,2006-06-11,102428,Large,-1.63
Growth,USD,1150000000.0,1.13,2,2003-12-30,194354,Large,9.49
Blend,USD,1510000000.0,3.73,3,2000-09-04,71648,Small,3.77
Value,USD,1290000000.0,1.09,3,1998-04-30,214379,Small,7.69
Value,USD,22830000.0,3.81,0,2016-11-28,219671,Large,5.82
Growth,USD,9150000000.0,1.43,,2006-10-01,82628,Large,7.94
Blend,USD,31560000.0,0.81,,2015-08-23,145241,Large,7.03
,USD,142230000.0,1.29,0,2017-06-29,34784,,0.78
,USD,2240000000.0,4.61,,1997-08-14,103976,,7.5
,USD,178070000.0,2.2,3,1988-04-13,215675,,7.36
Value,USD,929150000.0,0.49,3,2004-05-31,180530,Medium,13.47
Value,USD,6960000.0,1.01,2,1997-07-31,191528,Medium,15.35
Blend,USD,726540000.0,0.57,2,1991-01-01,149822,Large,13.48
,USD,1620000000.0,3.71,3,2006-09-28,103643,,8.04
Blend,USD,3090000000.0,2.52,3,2002-09-30,233018,Large,2.64
Growth,USD,350300000.0,0.87,2,1995-01-30,156275,Large,11.04
Blend,USD,1160000000.0,2.04,3,2005-12-20,222281,Large,10.38
Value,USD,6750000000.0,2.02,2,2007-01-03,203768,Large,1.2
Growth,USD,839070000.0,0.04,4,2000-09-10,232010,Large,17.6
Blend,USD,55580000.0,3.26,3,2013-04-30,85013,Large,2.85
Growth,USD,5380000000.0,1.68,4,2004-10-14,228761,Large,11.86
Growth,USD,297990000.0,0.0,3,2002-12-30,196820,Medium,22.58
Growth,USD,2050000000.0,1.4,4,2010-08-31,44936,Large,13.92
Blend,USD,942870000.0,3.55,4,2012-04-08,220445,Large,6.55
Value,USD,3670000000.0,1.96,3,2002-10-13,94904,Medium,1.09
Blend,USD,331020000.0,0.0,4,1998-11-16,47942,Medium,3.92
Blend,USD,98160000.0,3.25,,2002-07-31,222551,Large,12.47
Growth,USD,15980000000.0,1.98,,2005-03-31,151973,Large,11.93
,USD,4400000000.0,3.04,5,2017-11-29,106883,,3.01
Growth,USD,62240000.0,0.0,1,1996-11-24,203219,Large,15.72
Blend,USD,9430000.0,0.33,0,2013-12-18,155033,Medium,0.68
Growth,USD,790820000.0,0.0,3,2005-09-14,202418,Small,13.5
Blend,USD,48560000.0,1.85,,2012-04-29,178442,Medium,6.48
Value,USD,62430000.0,1.31,3,2016-06-29,138266,Large,12.44
Growth,USD,843560000.0,0.0,2,2002-03-27,124217,Large,33.64
Growth,USD,108990000.0,0.0,2,2003-01-26,31814,Medium,20.11
Growth,USD,123260000.0,0.0,4,2002-05-02,169406,Small,27.71
Value,USD,217290000.0,1.49,2,2008-03-30,251603,Large,10.02
Value,USD,1700000000.0,3.01,4,1998-05-17,180197,Medium,2.57
Value,USD,7170000000.0,1.92,,2004-10-18,28547,Large,12.66
Blend,USD,156980000000.0,1.79,4,1988-02-16,95075,Large,2.94
Growth,USD,638640000.0,0.0,3,2011-07-31,252314,Large,19.37
Blend,USD,120750000.0,3.18,3,2003-01-22,235943,Large,3.34
Value,USD,1280000000.0,1.97,2,2009-07-05,136088,Medium,1.55
Value,USD,5930000.0,2.17,0,2017-03-06,79559,Medium,1.5
Value,USD,37500000.0,1.47,2,2006-07-10,69812,Medium,2.39
Blend,USD,2590000000.0,1.97,3,1997-12-30,240794,Medium,17.24
Growth,USD,619100000.0,0.74,4,1998-12-30,209969,Large,18.98
,USD,1810000000.0,0.0,3,2010-07-29,34748,,1.9
Value,USD,1180000000.0,1.07,2,1997-07-27,58670,Small,10.71
,USD,230410000.0,5.3,,2016-01-03,121985,,2.91
Value,USD,79700000.0,0.42,4,2006-12-20,105929,Medium,12.41
Blend,USD,2280000000.0,2.5,3,2000-10-01,161675,Medium,2.73
Value,USD,28660000.0,3.44,2,2013-12-22,161882,Large,10.24
Value,USD,715850000.0,0.58,4,1985-09-19,115136,Small,11.75
Value,USD,201390000.0,2.2,2,2014-02-09,168830,Medium,2.48
Growth,USD,888250000.0,0.0,4,2018-01-24,157850,Large,16.86
Blend,USD,107630000.0,2.31,1,2004-10-31,196802,Large,4.38
,USD,44160000.0,3.64,,2014-06-30,112733,,0.15
Value,USD,471230000.0,6.68,4,2011-09-29,109511,Small,4.07
Growth,USD,2220000000.0,0.96,2,2001-02-28,199412,Large,12.46
Growth,USD,9480000.0,0.49,2,2015-03-30,141182,Large,13.63
Blend,USD,75530000.0,0.0,2,2006-10-12,64502,Medium,-6.39
Blend,USD,757210000.0,1.29,3,2001-06-17,90557,Large,11.01
Blend,USD,818180000.0,0.93,3,2008-11-18,172376,Large,6.5
Growth,USD,597260000.0,1.32,4,1993-12-28,196721,Large,9.05
Value,USD,631660000.0,2.21,3,2011-12-28,148238,Medium,10.93
Value,USD,181690000.0,0.0,3,2003-11-03,39977,Medium,15.41
Growth,USD,333240000.0,0.0,4,2009-06-21,244376,Medium,13.62
Blend,USD,136060000.0,0.99,3,2007-09-30,217979,Medium,15.6
Growth,USD,178960000.0,0.9,2,2017-04-16,173393,Large,11.63
Value,USD,6380000000.0,0.72,4,1998-12-30,41165,Small,12.26
Value,USD,818520000.0,0.93,4,2005-11-14,238148,Medium,13.05
Blend,USD,4100000000.0,2.36,,2017-03-15,212003,Medium,3.3
Blend,USD,6640000000.0,3.95,3,2011-02-09,243818,Large,13.35
Blend,USD,353870000.0,3.1,4,2016-08-30,67706,Medium,3.03
Value,USD,958950000.0,2.62,4,2012-04-15,237671,Medium,1.14
Blend,USD,911160000.0,2.6,5,2007-05-30,110699,Medium,2.79
,USD,24020000.0,0.0,1,2012-12-13,107459,,-1.71
Blend,USD,33740000.0,1.78,4,2011-10-02,123335,Large,9.66
Blend,USD,19040000000.0,3.61,3,2001-08-12,243044,Large,10.7
Blend,USD,610460000.0,0.87,2,1997-06-05,224945,Small,11.07
Blend,USD,5620000000.0,1.39,4,2011-12-29,66527,Large,13.19
Blend,USD,17600000000.0,1.79,5,2009-07-05,126593,Large,8.62
Value,USD,27340000.0,4.95,4,2016-07-25,111554,Small,1.18
Blend,USD,88380000.0,2.3,2,1996-01-30,183221,Medium,15.65
Value,USD,36320000.0,2.1,0,2017-07-31,83735,Small,2.22
Value,USD,81310000.0,0.37,2,2013-12-29,137033,Large,5.47
Value,USD,13970000.0,0.05,3,2004-08-31,214064,Small,16.44
Blend,USD,606130000.0,2.63,2,1995-01-11,85472,Medium,4.57
Blend,USD,72540000.0,1.2,3,2010-08-01,208655,Large,9.83
Value,USD,39360000000.0,4.0,5,1996-09-15,183725,Small,4.0
Blend,USD,6480000000.0,,,2019-02-06,243386,Small,10.44
Blend,USD,109430000.0,2.86,3,2008-01-01,194525,Medium,2.55
Value,USD,2310000000.0,2.01,3,2002-12-09,95210,Large,9.74
Growth,USD,47160000.0,0.0,2,1994-11-16,72458,Medium,15.18
Value,USD,244990000.0,1.25,4,2015-04-29,164141,Small,0.94
Value,USD,426780000.0,3.05,3,2006-01-30,117980,Large,17.19
Blend,USD,329320000.0,1.61,,2011-10-31,81962,Medium,10.69
Value,USD,658180000.0,0.66,,2017-02-27,112400,Medium,13.3
Growth,USD,13990000000.0,1.09,3,2010-11-29,137393,Large,13.59
Growth,USD,75130000.0,0.66,4,2011-08-18,51155,Medium,16.47
Value,USD,755700000.0,0.69,3,2009-09-29,229247,Medium,14.68
Growth,USD,1260000000.0,0.0,3,2006-12-11,83753,Medium,6.09
Blend,USD,165040000.0,3.13,3,1990-02-19,199673,Medium,2.64
Growth,USD,4930000000.0,1.05,3,2002-07-30,72116,Large,12.13
Value,USD,81410000.0,2.89,4,2007-12-27,43532,Small,3.12
Value,USD,560280000.0,2.38,5,2010-08-02,74492,Medium,1.68
Value,USD,302920000.0,2.35,3,2015-09-14,49319,Large,9.68
Value,USD,1190000000.0,1.39,3,2012-09-13,54035,Large,1.44
Blend,USD,29240000.0,1.22,3,2004-06-28,96524,Medium,2.54
Value,USD,459050000.0,2.97,4,1998-05-31,188180,Large,10.38
Blend,USD,13520000000.0,1.03,,2001-03-14,240065,Large,1.67
Blend,USD,631870000.0,1.1,4,2002-12-29,154322,Large,12.25
Value,USD,319390000.0,1.7,3,2014-05-26,42551,Large,11.53
Growth,USD,61250000.0,0.44,3,2013-11-14,162557,Large,20.97
Blend,USD,727640.0,0.14,2,1997-12-29,50507,Medium,13.14
Blend,USD,49560000.0,0.0,3,2016-03-30,29717,Medium,9.05
Blend,USD,3400000000.0,3.85,5,2010-08-31,157103,Small,4.2
Value,USD,314180000.0,5.51,3,2000-12-28,215216,Small,6.61
,USD,9190000.0,0.0,4,2013-12-30,226061,,9.88
Blend,USD,726540000.0,0.4,2,2004-01-01,148850,Large,13.41
Growth,USD,2600000000.0,4.77,5,2015-05-27,121328,Medium,2.2
Blend,USD,1020000000.0,0.37,,2008-06-29,108773,Large,10.25
Blend,USD,5160000000.0,0.4,5,2013-01-27,246635,Small,10.93
Growth,USD,888250000.0,0.0,,1999-12-21,149417,Large,16.86
Growth,USD,1510000000.0,0.0,3,2009-12-20,172502,Large,11.99
Value,USD,210060000.0,1.69,3,2011-04-28,73277,Large,10.86
Blend,USD,1670000000.0,1.51,,2002-02-28,216539,Large,6.61
Blend,USD,1150000000.0,5.53,2,2003-03-09,203651,Large,7.83
Growth,USD,16050000.0,0.0,,2010-09-26,58148,Large,1.63
Value,USD,530460000.0,3.69,3,2005-10-30,208673,Large,7.23
Blend,USD,432660000.0,2.95,3,1987-11-05,69218,Medium,2.59
Value,USD,2040000000.0,2.3,4,2016-10-23,109889,Large,9.41
,USD,166990000.0,7.22,3,2011-12-06,92879,,6.0
Growth,USD,1180000000.0,0.0,4,2014-09-17,213596,Large,16.45
Blend,USD,15870000.0,0.32,3,2012-09-19,58130,Large,6.91
Growth,USD,826880000.0,0.18,,2016-09-18,136313,Medium,24.15
Blend,USD,748320000.0,0.78,3,2013-04-30,201041,Large,14.56
Value,USD,5430000000.0,4.43,,2008-11-30,152603,Small,6.18
Blend,USD,113060000000.0,1.73,3,2001-03-14,252647,Large,10.35
Growth,USD,40570000.0,1.01,1,2011-08-31,26648,Medium,10.82
Blend,USD,37740000.0,0.94,3,2007-12-30,80702,Large,7.07
Blend,USD,90080000000.0,1.48,,2010-12-16,246257,Medium,16.19
Blend,USD,4500000000.0,2.05,,2015-06-23,86624,Large,8.1
Blend,USD,172360000.0,3.48,,2004-10-18,142640,Large,10.34
Growth,USD,166030000.0,0.0,3,2009-01-05,104822,Large,16.64
,USD,,0.0,0,2014-04-02,108305,,-0.8
Blend,USD,105740000.0,2.89,4,2011-01-30,143711,Medium,3.21
Blend,USD,32610000.0,0.0,2,2016-12-29,170720,Small,16.47
Blend,USD,247820000.0,1.24,4,2005-12-29,136448,Large,9.78
Growth,USD,1700000000.0,0.0,2,2008-03-30,250469,Large,14.87
Value,USD,104640000.0,3.15,3,2003-09-01,31841,Large,7.79
Value,USD,215550000.0,2.21,0,2016-12-05,244043,Large,11.65
Value,USD,8430000.0,1.58,0,2016-06-30,246707,Large,8.25
Value,USD,34300000000.0,2.14,4,2016-11-29,176615,Large,9.1
Growth,USD,516550000.0,0.12,2,1996-06-27,150884,Large,14.17
Value,USD,109970000.0,10.28,0,2016-02-16,70829,Small,7.94
Growth,USD,221250000.0,0.0,5,2015-05-27,32570,Large,13.55
Value,USD,463420000.0,2.98,3,1985-11-24,70091,Medium,1.76
Blend,USD,2950000.0,1.66,,1995-10-03,199403,Large,3.9
Blend,USD,102020000.0,1.01,2,2012-11-18,62486,Large,6.65
Blend,USD,50300000.0,2.8,3,2017-02-28,59255,Medium,3.01
Blend,USD,54680000000.0,1.68,4,2005-10-13,93527,Large,2.36
Blend,USD,171530000.0,0.66,1,2001-09-23,92789,Large,8.57
,USD,100170000.0,2.64,3,2012-05-30,193049,,2.79
Value,USD,1830000000.0,2.04,4,2002-01-31,35720,Medium,2.28
Growth,USD,1130000000.0,2.88,3,1983-04-28,183347,Medium,2.74
Value,USD,39330000.0,4.64,3,2015-06-29,140993,Large,5.47
Growth,USD,775180000.0,0.0,0,2017-05-24,90035,Medium,19.41
Growth,USD,1200000000.0,0.0,1,2013-04-30,90980,Medium,19.49
Blend,USD,531740000.0,1.0,4,2012-11-19,133973,Large,10.74
Blend,USD,2320000.0,0.0,0,2016-12-13,203057,Small,10.07
Blend,USD,,,0,2015-08-04,88406,Large,
Blend,USD,10530000.0,1.27,1,2013-03-17,189449,Medium,2.4
Growth,USD,18960000.0,0.0,2,2013-01-27,243233,Large,16.76
Blend,USD,15330000.0,0.19,2,2010-04-26,238814,Large,13.37
Growth,USD,4630000000.0,0.1,4,2010-01-31,204479,Large,11.19
Blend,USD,4560000000.0,0.84,5,2015-12-27,150533,Medium,6.62
Value,USD,8010000000.0,0.76,4,2005-03-31,166130,Medium,14.46
Value,USD,1030000000.0,2.13,2,2010-11-14,154295,Large,9.81
Value,USD,32580000.0,0.0,2,1997-03-30,76895,Medium,7.77
Value,USD,958950000.0,2.32,3,2012-04-15,237653,Medium,0.96
Blend,USD,5100000000.0,2.21,3,2015-01-22,58463,Large,2.78
Value,USD,1260000000.0,3.28,2,2011-04-28,143423,Medium,2.52
Value,USD,6380000000.0,0.64,3,2009-08-02,27665,Small,12.25
Growth,USD,3730000000.0,0.0,3,2011-06-29,142793,Large,20.66
Value,USD,2290000000.0,2.27,4,2011-06-05,192779,Medium,11.76
Blend,USD,71610000.0,2.05,3,2014-12-14,230156,Large,10.63
Blend,USD,39830000000.0,2.15,4,1992-11-08,242117,Large,9.54
,USD,81550000.0,3.37,3,1991-11-28,165824,,1.92
Growth,USD,2030000000.0,0.0,2,1998-06-23,155096,Medium,15.55
Blend,USD,110200.0,2.32,0,2017-06-07,94931,Large,8.02
Blend,USD,3690000000.0,0.21,3,2000-12-28,226178,Large,13.3
Blend,USD,239420000.0,0.72,2,2005-12-18,251090,Medium,13.5
Value,USD,14770000.0,0.0,,2002-09-30,148427,Large,11.58
Blend,USD,2030000000.0,2.76,4,2007-03-01,60308,Large,1.88
Growth,USD,361390000.0,0.0,5,2015-09-29,43649,Medium,18.53
Value,USD,4650000000.0,2.06,4,1987-12-30,246410,Medium,1.32
Blend,USD,337110000.0,3.95,4,2006-11-29,198395,Large,10.89
,USD,73970000.0,2.28,5,2013-12-15,226259,,5.48
,USD,549020000.0,1.27,3,2017-03-15,205001,,6.72
Growth,USD,144500000.0,0.61,3,1994-12-11,54368,Large,15.08
Value,USD,1550000000.0,2.18,,2005-03-31,161963,Medium,1.8
Value,USD,407740000.0,4.89,3,2008-01-30,198089,Small,4.13
Blend,USD,3280000000.0,1.55,4,1998-02-26,156329,Large,13.57
Value,USD,2590000000.0,0.88,4,2014-10-30,76292,Small,13.57
Blend,USD,128660000.0,0.39,3,1997-11-04,116621,Large,13.7
Growth,USD,1370000000.0,0.0,,2017-04-03,99179,Large,11.86
Value,USD,21460000.0,2.19,2,1997-10-01,43496,Large,8.54
