10years_category_r_squared,10yrs_sharpe_ratio_fund,10_years_alpha_fund,10years_fund_r_squared,10years_fund_std,10yrs_sharpe_ratio_category,10_years_beta_fund,10yrs_treynor_ratio_fund,fund_id,10_years_return_mean_annual_category,10yrs_treynor_ratio_category,10_years_return_fund,10_years_alpha_category,10_years_beta_category,10years_category_std,10_years_return_mean_annual_fund,10_years_return_category
0.17,,,,,0.01,,,32c0d0ad-42fc-4eac-bcbf-db81155061ea,0.01,0.07,0.0,0.04,0.01,0.08,,8.24
0.94,0.58,0.09,95.05,16.42,0.01,1.02,8.43,cc13cfc9-8d13-49a2-85de-a416802a5388,0.01,0.08,9.01,-0.0,0.01,0.16,0.83,8.43
0.03,1.34,6.88,5.54,6.39,0.01,0.53,16.63,b145580a-be0d-4bf2-b021-afea52ab859d,0.01,0.23,9.23,0.08,0.0,0.07,0.76,9.49
0.95,,,,,0.01,,,3faa81fc-9640-43d0-8b68-e5b06c65bfe6,0.01,0.08,0.0,-0.02,0.01,0.12,,12.02
0.73,1.05,0.45,72.2,14.76,0.01,0.99,15.64,641bed7d-01c8-4f17-876a-7c92b9c7772a,0.01,0.13,15.91,-0.02,0.01,0.18,1.33,16.24
0.88,,,,,0.01,,,ff836e53-0baf-41d8-8720-ec9ad3ea9333,0.01,0.15,0.0,-0.01,0.01,0.14,,15.94
0.17,1.01,4.84,14.63,8.48,0.01,1.14,7.54,b1efcbda-2aaf-464e-a086-ff83c310d719,0.01,0.07,9.03,0.04,0.01,0.08,0.75,8.24
0.64,1.13,0.22,57.84,0.8,0.01,0.16,5.6,09e24f3d-7191-4207-887c-98f31c6b59d2,0.0,0.04,1.37,-0.0,0.0,0.01,0.11,1.72
0.92,1.06,-0.29,97.57,8.3,0.01,1.01,8.78,ece97bde-c35a-4e56-8736-3a63d05effcf,0.01,0.09,9.31,-0.0,0.01,0.09,0.77,9.98
0.01,0.73,2.78,1.74,4.78,0.0,0.22,15.61,af45357c-fd37-4fd0-8515-7ff8d0c614c4,0.0,-0.1,3.92,0.01,0.0,0.04,0.33,1.48
0.71,1.09,0.5,75.66,6.07,0.01,1.85,3.59,cf16e846-1090-4041-b20c-22d6c27fe32e,0.01,0.04,7.09,0.01,0.02,0.07,0.59,7.83
0.75,1.0,-0.32,91.18,3.07,0.01,1.03,3,ddc4a019-bfad-47bc-8402-0f6314464d19,0.0,0.05,3.54,0.01,0.01,0.03,0.29,4.56
0.89,,,,,0.01,,,748389f1-fb07-4456-96cf-342508894110,0.01,0.07,0.0,-0.02,0.01,0.1,,8.38
0.82,1.0,-1.63,86.33,15.06,0.01,1.1,13.63,445351ad-1b0a-4d79-9387-9e7505e60803,0.01,0.14,15.47,-0.02,0.01,0.16,1.3,15.7
0.95,0.91,-2.38,97.1,13.21,0.01,1.6,7.42,fcdef764-4788-4cd6-bb78-58c2b0c143df,0.01,0.08,12.32,-0.02,0.01,0.12,1.04,12.02
0.96,0.79,-1.21,93.79,3.95,0.01,1.03,3.04,85d8e05d-9f63-4ed9-a388-7397e43e0816,0.0,0.04,3.57,-0.0,0.01,0.04,0.3,4.09
0.91,0.91,-2.14,92.78,13.25,0.01,1.57,7.53,bf528bfe-ab35-4757-972b-81ca1ff69657,0.01,0.08,12.26,-0.02,0.02,0.13,1.04,12.56
0.17,0.63,1.01,27.91,11.46,0.01,1.85,3.67,f43d7168-0c2e-4036-9454-4ba2a8bae63a,0.01,0.07,7.13,0.04,0.01,0.08,0.63,8.24
0.95,0.97,-1.57,97.18,12.35,0.01,1.5,7.92,35f5d139-2418-4eb9-9dbf-54164560cd85,0.01,0.08,12.31,-0.01,0.01,0.1,1.03,10.79
0.73,0.84,-2.8,71.12,16.51,0.01,1.1,12.16,9133c457-d0c0-4e57-93c5-f54e7b01d6fb,0.01,0.13,13.79,-0.02,0.01,0.18,1.2,16.24
0.87,1.13,0.49,85.49,4.6,0.01,0.52,10.04,9543feaf-96d7-4681-a6f1-2836760d198c,0.01,0.1,5.71,0.01,0.01,0.05,0.47,6.62
0.21,1.07,3.68,11.8,5.44,0.01,0.66,8.96,5174b605-9b6c-4010-b02c-7710bf07bae7,0.01,-0.02,6.32,0.04,0.01,0.05,0.52,6.69
0.75,1.52,1.83,70.01,3.28,0.01,0.97,5.28,77cfa536-607f-4069-a6b8-f10109dfd77d,0.0,0.05,5.55,0.01,0.01,0.03,0.46,4.56
0.73,,,,,0.01,,,01c13d12-6b25-4362-aecb-6249572fc3f9,0.01,0.13,0.0,-0.02,0.01,0.18,,16.24
0.93,,,,,0.01,,,26aa9114-61c8-414c-a519-00f59fa9e11f,0.0,0.04,0.0,-0.0,0.01,0.04,,4.08
0.88,1.16,-0.04,93.8,13.22,0.01,1.01,15.37,61b7dc48-d96e-41f2-930b-86e82ae615a6,0.01,0.15,15.96,-0.01,0.01,0.14,1.31,15.94
0.58,,,,,0.01,,,3b56fc79-9ecc-45f3-a26a-2c97518748b5,0.01,0.05,0.0,0.02,0.01,0.04,,6.44
0.95,0.93,-2.09,97.22,12.76,0.01,1.55,7.58,de51213a-5932-48b1-a795-68d0d168d064,0.01,0.08,12.17,-0.02,0.01,0.12,1.03,12.02
0.93,0.54,-0.52,94.33,18.16,0.01,1.12,7.7,2d9b25cb-b1ea-4951-bab8-b987d057380c,0.01,0.08,9.07,-0.01,0.01,0.16,0.86,8.08
0.97,,,,,0.01,,,63ac406e-0d07-4713-9b69-88b4075c4ecb,0.01,0.08,0.0,-0.01,0.01,0.1,,10.25
0.95,,,,,0.01,,,d7207b69-93ff-4131-9a16-d93058d27d7b,0.01,0.08,0.0,-0.02,0.01,0.12,,12.02
0.88,,,,,0.01,,,2e868d05-4883-4507-89d2-2aeab7b5dc15,0.01,0.15,0.0,-0.01,0.01,0.14,,15.94
0.84,0.9,4.77,85.08,13.44,0.01,0.79,15.03,6392c128-ca8f-4903-9e16-d759417be771,0.01,0.14,12.28,0.04,0.01,0.14,1.04,11.79
0.75,1.27,0.64,72.42,2.17,0.01,0.65,4.31,495ed9af-56e5-482c-9b17-a3772bc3065e,0.0,0.05,3.25,0.01,0.01,0.03,0.27,4.56
0.88,,,,,0.01,,,c5594b64-5ed5-4ee0-b1dc-6ff6061e60f5,0.01,0.1,0.0,0.01,0.01,0.17,,10.05
0.95,1.01,-0.92,96.96,11.48,0.01,1.39,8.36,329eb106-b5d3-4bbb-a69a-a7b351d6967b,0.01,0.08,12.08,-0.01,0.01,0.1,1.01,10.79
0.91,1.32,1.66,91.33,6.43,0.01,0.76,11.43,f6963b59-4873-493c-940a-1d2953a2fe0a,0.01,0.1,9.1,0.0,0.01,0.07,0.75,7.87
0.97,0.97,-1.48,97.87,11.42,0.01,1.39,7.92,52b259b2-7f1d-4243-879f-4b21780f856f,0.01,0.08,11.45,-0.02,0.01,0.12,0.96,11.53
0.84,,,,,0.01,,,86499eab-a203-4d6c-a524-d314cc0aea9a,0.01,0.14,0.0,0.04,0.01,0.14,,11.79
0.68,1.07,5.48,73.02,16.21,0.01,1.0,17.41,fcad9b90-d245-4ae7-9e0a-32e9bea42599,0.02,0.18,17.77,0.06,0.01,0.18,1.48,18.72
0.87,0.52,-0.6,88.12,16.58,0.01,0.99,7.58,68005c8e-42a6-4645-877d-2d909076b7dd,0.01,0.09,7.94,0.0,0.01,0.17,0.75,9.26
0.71,0.84,1.73,72.44,15.62,0.01,0.96,13.2,0eec9829-4e3d-416c-ac9d-2f41283316f5,0.01,0.13,13.05,0.02,0.01,0.16,1.13,13.14
0.49,,,,,0.01,,,0a53c8fa-1c27-4876-bf42-f37fe9c97263,0.01,0.21,0.0,0.06,0.01,0.13,,14.3
0.61,0.74,-0.41,82.41,1.32,0.01,0.42,2.32,11c8964a-d542-4a91-8363-616e9b50b090,0.0,0.02,1.43,-0.0,0.0,0.01,0.12,1.23
0.82,0.57,-8.36,68.42,19.72,0.01,1.29,7.57,9dc9eb73-35c1-48f0-a5af-6875689fc136,0.01,0.14,10.18,-0.02,0.01,0.16,0.97,15.7
0.94,0.99,-2.06,91.33,13.47,0.01,1.02,13.1,b9a71e92-be3a-4e6f-9a17-370b2632e5f8,0.01,0.14,13.74,-0.01,0.01,0.13,1.15,14.54
0.0,,,,,0.01,,,1ccceb82-c7c4-420e-81cc-667fd864e4f4,0.01,4.68,0.0,0.06,0.0,0.05,,6.69
0.01,,,,,0.0,,,5f51b039-dd1a-46e4-b471-0a204c75bc34,0.0,-0.1,0.0,0.01,0.0,0.04,,1.48
0.9,1.04,-1.64,94.62,12.92,0.01,0.99,13.55,11959895-6ecc-4031-b6f1-0fce1629d435,0.01,0.14,13.87,-0.02,0.01,0.13,1.16,13.68
0.82,,,,,0.01,,,3112a566-6ccb-4c1c-ac06-c685ff859493,0.01,0.14,0.0,-0.02,0.01,0.16,,15.7
0.76,0.87,-3.48,79.61,17.22,0.01,1.21,11.89,809b6e79-34b9-4c28-9207-55a4f88fbde6,0.01,0.12,14.86,-0.03,0.01,0.17,1.28,14.67
0.68,1.22,9.13,75.27,18.92,0.01,1.18,20.12,c62dd5a7-7b84-413e-b629-d1212211b89b,0.02,0.18,24.18,0.06,0.01,0.18,1.97,18.72
0.92,1.11,0.01,95.75,4.02,0.01,1.06,4.28,3f6e4203-1560-4a1c-8844-bbcde53208f2,0.0,0.04,4.96,-0.0,0.01,0.05,0.41,5.05
0.07,,,,,0.01,,,76317970-6e2c-487a-a66c-051709fab161,0.0,0.14,0.0,0.04,0.0,0.04,,4.99
0.75,1.59,2.4,69.64,3.77,0.01,1.11,5.56,31c207db-1b17-4a68-9305-fa1c75760b65,0.0,0.05,6.62,0.01,0.01,0.03,0.54,4.56
0.03,1.44,6.69,4.76,5.58,0.01,0.43,19.33,1c08679a-d627-47f2-a5d5-87c9415af3ec,0.01,0.23,8.73,0.08,0.0,0.07,0.71,9.49
0.88,0.99,-2.03,87.93,14.78,0.01,1.09,13.21,c3cfdd4c-690c-4eed-8ee8-6bd75586a688,0.01,0.15,14.87,-0.01,0.01,0.14,1.25,15.94
0.95,,,,,0.01,,,337e1e79-df30-4526-a519-e19e04bc0afd,0.01,0.08,0.0,-0.02,0.01,0.12,,12.02
0.92,0.96,-0.71,86.14,9.48,0.01,1.08,8.33,167dff20-8aff-4bd6-8efb-4094fdccc930,0.01,0.09,9.47,-0.0,0.01,0.09,0.79,9.98
0.81,0.98,-0.09,78.19,2.12,0.01,0.66,3.17,17cb909c-d47d-4039-baa0-8edc46aa7919,0.0,0.03,2.55,-0.01,0.01,0.03,0.21,2.53
0.58,,,,,0.01,,,c2896226-0c05-4162-96b9-c12a94c8cab6,0.01,0.05,0.0,0.02,0.01,0.04,,6.44
0.94,0.63,0.96,94.38,15.64,0.01,0.96,9.45,c9f90fe4-6afe-4779-8c03-a32bf29270d2,0.01,0.08,9.56,-0.0,0.01,0.16,0.86,8.43
0.73,0.81,-3.99,80.07,15.07,0.01,1.06,11,ebd9bad0-3ec5-4558-bba5-63c340261c62,0.01,0.11,12.15,-0.04,0.01,0.18,1.05,14.12
0.84,,,,,0.01,,,06c31e27-bfc9-4117-87ff-33ce4b216713,0.01,0.14,0.0,0.04,0.01,0.14,,11.79
0.46,,,,,0.01,,,e0843d68-35e1-42ae-be61-cd1dd88fc6a0,0.01,0.19,0.0,0.07,0.01,0.18,,17.24
0.84,0.71,2.84,83.1,16.82,0.01,0.97,11.34,42aabb83-fe2d-4487-b86e-aa7bf103e0b8,0.01,0.14,11.49,0.04,0.01,0.14,1.03,11.79
0.85,,,,,0.01,,,16dda9f3-b0ff-4ed0-83f1-130aa2d354a7,0.01,0.12,0.0,-0.03,0.01,0.16,,14.46
0.88,1.12,-0.26,90.11,14.06,0.01,1.05,15.09,5cfbb979-2567-46da-a8bc-ae398d73591d,0.01,0.15,16.31,-0.01,0.01,0.14,1.35,15.94
0.9,0.9,-2.53,80.48,14.48,0.01,1.02,12.46,94a29f34-ca13-43fe-a7f1-497fab5581ca,0.01,0.14,13.21,-0.02,0.01,0.13,1.13,13.68
0.75,0.94,6.37,79.43,15.21,0.01,0.86,16.39,ce174fd0-c714-4149-bb6e-82d3455b20a6,0.01,0.14,14.56,0.04,0.01,0.17,1.23,12.77
0.92,1.47,3.76,90.18,9.07,0.01,1.06,13,6e6a4e58-7346-45c0-be3d-23bcfbf13556,0.01,0.09,14.23,-0.0,0.01,0.09,1.15,9.98
0.97,0.92,-2.22,97.51,12.55,0.01,1.52,7.46,c7f0a127-c4e5-4bd5-a794-b3439b576d53,0.01,0.08,11.82,-0.02,0.01,0.12,1.0,11.53
0.93,,,,,0.01,,,80024c1d-8bf2-43ab-92b0-f82615117cc5,0.0,0.04,0.0,-0.0,0.01,0.04,,4.08
0.75,0.82,-0.95,99.48,2.86,0.01,1.0,2.34,6e43421e-36f0-4182-9e0d-9a8d30f3fab7,0.0,0.05,2.8,0.01,0.01,0.03,0.23,4.56
0.74,1.0,0.37,62.3,3.5,0.01,0.74,4.75,19de65db-f280-483e-8d51-62f636b2cb3a,0.0,0.04,3.95,-0.0,0.01,0.02,0.33,2.33
0.94,1.11,-0.83,96.38,12.89,0.01,1.0,14.49,141a1a82-a86c-4f1b-971f-aed6c3d3525f,0.01,0.14,14.9,-0.01,0.01,0.13,1.23,14.54
0.81,1.25,1.61,85.78,7.13,0.01,0.81,11.19,e537861f-ac24-4900-897b-53b0740f11e2,0.01,-0.14,9.55,0.01,0.0,0.05,0.78,6.24
0.81,0.73,-0.98,90.4,2.69,0.01,0.9,2.2,cca3bf59-99c1-4f68-8ddb-a93732b6b06f,0.0,0.03,2.42,-0.01,0.01,0.03,0.2,2.53
0.84,,,,,0.01,,,41ddd18f-a08f-46be-bdbf-712be9c1c1d8,0.01,0.14,0.0,0.04,0.01,0.14,,11.79
0.88,1.0,-2.18,91.36,14.73,0.01,1.11,13.14,0abe57f4-0799-4ac0-9291-29ea36e127a0,0.01,0.15,15.02,-0.01,0.01,0.14,1.26,15.94
0.94,0.95,-2.86,94.44,13.07,0.01,1.0,12.19,1a807613-dc59-404c-9e9d-c3db96d303fb,0.01,0.14,12.65,-0.01,0.01,0.13,1.07,14.54
0.64,0.85,-0.13,71.26,1.23,0.01,0.28,3.78,468b76c0-a276-45b9-ad76-1a9d6c336ed6,0.0,0.04,1.5,-0.0,0.0,0.01,0.13,1.72
0.06,,,,,0.01,,,557df110-6ac1-44c7-b21b-70181cd535db,0.01,0.16,0.0,0.1,0.01,0.1,,13.08
0.95,1.29,1.39,93.76,6.39,0.01,0.76,11.04,14ebe411-d1a7-43cc-b675-49c51a28e2fd,0.01,0.09,8.87,0.0,0.01,0.07,0.73,8.16
0.76,,,,,0.01,,,47fd480a-cd92-41fc-9bd6-b1ae2185278b,0.01,0.12,0.0,-0.03,0.01,0.17,,14.67
0.87,0.61,1.35,73.09,12.4,0.01,0.67,10.53,f3cb90cd-9a67-45b9-8ebe-200967997567,0.01,0.09,7.54,0.0,0.01,0.17,0.67,9.26
0.94,,,,,0.01,,,3c600ea2-9849-471c-bd43-fef7820d6cc9,0.01,0.08,0.0,-0.0,0.01,0.16,,8.43
0.63,,,,,0.01,,,68511108-9ab7-48ee-a4ae-2745ae7efbeb,0.0,0.06,0.0,-0.01,0.01,0.07,,4.77
0.53,,,,,0.01,,,b1d586d2-da95-4d3a-bc79-12b53fdcedfd,0.0,0.02,0.0,-0.01,0.01,0.04,,3.01
0.96,1.11,0.16,95.66,7.92,0.01,0.95,9.28,a4785dc8-9a98-416e-92a1-d5a45c9682ca,0.01,0.09,9.29,-0.0,0.01,0.08,0.77,8.81
0.08,,,,,0.0,,,3f08de06-22cd-4af6-8e21-da02b0046f81,0.0,0.03,0.0,0.0,0.01,0.12,,3.94
0.97,,,,,0.01,,,09ebf052-9705-4b88-8485-88553758e844,0.01,0.08,0.0,-0.02,0.02,0.12,,12.09
0.94,1.01,-1.81,91.76,13.5,0.01,1.02,13.37,dff98d02-1df2-4c03-8bb1-18add680254b,0.01,0.14,14.08,-0.01,0.01,0.13,1.18,14.54
0.9,1.07,-0.11,92.83,4.84,0.01,1.25,4.18,685e0df5-a185-42b9-a09d-771402ace709,0.0,0.04,5.66,-0.0,0.01,0.04,0.47,4.69
0.71,,,,,0.01,,,6a0c5461-c525-4d44-82d6-f3589d19cb02,0.0,0.1,0.0,-0.02,0.0,0.06,,5.01
0.94,,,,,0.01,,,9f0e4973-33d4-4bb5-a5ad-15b5a12ac8a2,0.01,0.09,0.0,-0.0,0.01,0.08,,9.23
0.9,0.91,-3.42,91.42,14.41,0.01,1.09,11.8,3446b45f-6938-46bc-ae93-68ac5d1e2d38,0.01,0.14,13.27,-0.02,0.01,0.13,1.13,13.68
0.28,0.49,-0.63,28.2,5.35,0.01,1.0,2.56,b970945f-a0d7-4d0f-8d38-cec2e6867a46,0.0,0.11,2.99,0.01,0.01,0.06,0.26,3.95
0.93,1.19,0.57,87.19,4.21,0.01,1.05,4.82,fa3b96ba-709b-49c3-b47d-1d6b60c88513,0.0,0.04,5.53,-0.0,0.01,0.04,0.46,4.08
0.88,,,,,0.01,,,dd00ccbc-7cae-44d4-b78c-2a4971fddb92,0.01,0.12,0.0,0.03,0.01,0.16,,11.52
0.82,,,,,0.01,,,085d1eac-c0f2-412e-9471-57ece0ccee0f,0.01,0.08,0.0,-0.0,0.01,0.19,,8.92
0.58,1.3,2.46,42.57,4.47,0.01,1.03,5.77,38821e40-abe7-45dc-b708-87d9200fd3fb,0.01,0.05,6.38,0.02,0.01,0.04,0.53,6.44
0.58,,,,,0.01,,,0f48952c-1047-49c2-a7eb-5492a86fbc7d,0.01,0.05,0.0,0.02,0.01,0.04,,6.44
0.93,0.56,-0.33,96.99,16.14,0.01,1.01,8,438f2024-c356-48cf-8092-2b0226a3437c,0.01,0.08,8.52,-0.01,0.01,0.16,0.79,8.08
0.73,,,,,0.01,,,bab99780-bb6b-4569-a290-a94ca6569267,0.01,0.13,0.0,-0.02,0.01,0.18,,16.24
0.84,0.83,4.55,85.77,16.12,0.01,0.95,13.53,651b1b6b-4589-4f09-b49f-ea708a7af9d8,0.01,0.14,13.28,0.04,0.01,0.14,1.15,11.79
0.54,,,,,-0.0,,,131eddd6-9d7a-4cee-a2e8-e52f36167304,-0.0,-0.05,0.0,-0.04,0.01,0.09,,-2.76
0.89,0.9,-0.66,81.43,6.4,0.01,0.71,8.06,85c79348-bcaa-45a2-84e9-b85e9e94a470,0.01,0.07,6.19,-0.02,0.01,0.1,0.52,8.38
0.75,,,,,0.01,,,fb122bcd-a3f6-4993-9dff-b589ac14b5a7,0.0,0.05,0.0,0.01,0.01,0.03,,4.56
0.88,1.21,0.58,95.14,12.81,0.01,0.98,16.1,f93c8d85-1002-495d-9f18-2953293b58f2,0.01,0.15,16.29,-0.01,0.01,0.14,1.33,15.94
0.82,,,,,0.01,,,ec5c2c58-3665-4579-afc5-211ed852dec3,0.01,0.08,0.0,-0.0,0.01,0.19,,8.92
0.13,,,,,0.01,,,c925fe1b-c7f5-46c0-b2f5-ad9a6d66817c,0.0,0.21,0.0,0.01,0.0,0.01,,1.6
0.94,1.01,-2.31,96.98,13.42,0.01,1.04,12.92,b3d898bb-77a1-4892-a1e8-d507d4ff09fc,0.01,0.14,13.89,-0.01,0.01,0.13,1.16,14.54
0.81,,,,,0.01,,,8bfb75ee-4a47-4b00-92b6-d7a53955e9b3,0.01,-0.14,0.0,0.01,0.0,0.05,,6.24
0.9,1.06,-1.39,94.01,13.24,0.01,1.01,13.85,d95bf6cc-b0ab-4c59-b3d9-2514bf8d51c7,0.01,0.14,14.47,-0.02,0.01,0.13,1.2,13.68
,,,,,,,,41b39b6e-76cf-4542-b457-f54cbbacd2ed,,,0.0,,,,,2.7
0.39,,,,,0.01,,,7490bfcf-ae8e-40e0-a140-15ddd5a98d95,0.0,0.04,0.0,0.01,0.0,0.02,,2.7
0.03,1.43,7.94,1.56,6.18,0.01,0.27,33.3,0b1a2725-d004-4e08-99fa-c18d993053cd,0.01,0.23,9.49,0.08,0.0,0.07,0.77,9.49
0.39,1.19,1.32,16.89,1.82,0.01,0.27,8.3,5b93a166-8150-4fb5-8493-064338d419c0,0.0,0.04,2.66,0.01,0.0,0.02,0.22,2.7
0.0,0.52,-3.09,30.59,21.22,0.0,0.92,9.9,166c5a63-1d39-464f-b1d8-006101479046,0.0,0.0,9.6,0.0,0.0,0.0,0.95,0.0
0.03,,,,,0.01,,,6bc93e72-2f59-4eb2-86a4-8fd8866096be,0.01,0.23,0.0,0.08,0.0,0.07,,9.49
0.21,1.35,5.75,9.45,5.78,0.01,0.62,12.73,b9aefd70-c3d2-43bc-b018-7b2b05edbc24,0.01,-0.02,8.4,0.04,0.01,0.05,0.69,6.69
0.21,,,,,0.01,,,d3b73805-518b-49b4-93de-d11c0c46b424,0.01,-0.02,0.0,0.04,0.01,0.05,,6.69
0.13,0.84,0.41,23.4,1.42,0.01,0.25,4.95,cd9b1f78-e450-489f-b6e5-ece691d5c021,0.0,0.21,1.68,0.01,0.0,0.01,0.14,1.6
0.94,1.1,-1.06,98.13,12.98,0.01,1.01,14.26,c6cdfecb-18b9-4bba-8e77-e79d3e6cc6ae,0.01,0.14,14.9,-0.01,0.01,0.13,1.23,14.54
0.89,0.88,-0.76,81.34,6.4,0.01,0.71,7.9,e17bf0bf-8051-4dfe-8708-8f085bc39892,0.01,0.07,6.07,-0.02,0.01,0.1,0.51,8.38
0.39,1.45,1.33,29.75,1.6,0.01,0.31,7.65,b571acbb-aca5-40d3-a1e5-e8362cc61011,0.0,0.04,2.83,0.01,0.0,0.02,0.23,2.7
0.95,1.06,-0.19,95.36,7.78,0.01,0.94,8.87,f8ae4edf-a98e-4338-9814-f3a2229b0b90,0.01,0.09,8.75,0.0,0.01,0.07,0.73,8.16
0.91,0.66,1.71,89.41,16.08,0.01,0.96,10.21,e1eaa498-107f-4815-9a0c-82257fef595c,0.01,0.1,10.3,0.02,0.01,0.15,0.93,9.97
0.65,0.46,-5.44,67.6,11.14,0.0,3.21,1.45,4f335f12-8097-4dba-9f8e-27d515c7ee0b,0.0,0.01,5.08,-0.05,0.03,0.12,0.47,4.96
0.58,,,,,0.01,,,0fc19ff0-d5c1-43e7-8b20-db825e4008ee,0.01,0.05,0.0,0.02,0.01,0.04,,6.44
0.63,,,,,0.01,,,037fc0ba-19d7-42be-afc1-5427cc94e872,0.0,0.06,0.0,-0.01,0.01,0.07,,4.77
0.75,,,,,0.01,,,83679d64-0c65-4610-a4ad-d86911b64228,0.01,0.05,0.0,0.01,0.01,0.06,,7.43
0.8,-1.09,0.79,93.81,11.36,-0.01,-0.87,14.23,7723006e-720e-4c97-825f-1752cd112736,-0.02,0.16,-11.87,-0.01,-0.02,0.24,-0.99,-24.99
0.64,0.85,-0.12,70.48,1.15,0.01,0.26,3.81,875456fb-b41f-491b-8186-98fbc0b38bf3,0.0,0.04,1.45,-0.0,0.0,0.01,0.12,1.72
0.94,,,,,0.01,,,dd4297fa-8b3c-4bce-84b4-e264bd1f9bfe,0.01,0.14,0.0,-0.01,0.01,0.13,,14.54
0.17,,,,,0.01,,,c61c4db9-483a-43a6-8eef-4fbf0f576474,0.01,0.07,0.0,0.04,0.01,0.08,,8.24
0.39,1.42,1.64,9.28,1.52,0.01,0.16,13.4,a154aecd-da82-44db-81b5-445f2422c457,0.0,0.04,2.64,0.01,0.0,0.02,0.22,2.7
0.94,1.11,0.17,96.47,8.91,0.01,1.08,9.27,5b7f4c44-a8d5-4daa-8e27-29950f7e5561,0.01,0.09,10.43,-0.0,0.01,0.08,0.86,9.23
0.94,1.04,-1.74,95.9,13.05,0.01,1.01,13.47,151384a8-0c73-487e-9a7e-1912840bfdab,0.01,0.14,14.02,-0.01,0.01,0.13,1.17,14.54
