category,parent_company,fund_id,fund_name
Intermediate Government,American Century Investments,cca3bf59-99c1-4f68-8ddb-a93732b6b06f,American Century Government Bond Fund I Class
World Large Stock,PIMCO,41ddd18f-a08f-46be-bdbf-712be9c1c1d8,PIMCO RAE Global Fund Institutional Class
Large Growth,Wells Fargo Funds,0abe57f4-0799-4ac0-9291-29ea36e127a0,Wells Fargo Opportunity Fund - Class Inst
Large Blend,Teton Westwood Funds,1a807613-dc59-404c-9e9d-c3db96d303fb,TETON Westwood Equity Fund Class AAA
Muni National Short,Goldman Sachs,468b76c0-a276-45b9-ad76-1a9d6c336ed6,Goldman Sachs Short Duration Tax-Free Fund Service Class
Preferred Stock,Orinda Funds,557df110-6ac1-44c7-b21b-70181cd535db,Orinda Income Opportunities Fund Class A
Target-Date 2000-2010,American Funds,14ebe411-d1a7-43cc-b675-49c51a28e2fd,American Funds 2010 Target Date Retirement Fund Class R-4
Small Blend,American Beacon,47fd480a-cd92-41fc-9bd6-b1ae2185278b,American Beacon Zebra Small Cap Equity Fund Y Class
Europe Stock,Franklin Templeton Investments,f3cb90cd-9a67-45b9-8ebe-200967997567,Franklin Mutual European Fund Class A
Foreign Large Blend,John Hancock,3c600ea2-9849-471c-bd43-fef7820d6cc9,John Hancock Disciplined Value International Fund Class R6
Multialternative,Saratoga,68511108-9ab7-48ee-a4ae-2745ae7efbeb,James Alpha Family Office Portfolio Class C
Inflation-Protected Bond,JPMorgan,b1d586d2-da95-4d3a-bc79-12b53fdcedfd,JPMorgan Inflation Managed Bond Fund Class A Shares
Target-Date 2015,GuideStone Funds,a4785dc8-9a98-416e-92a1-d5a45c9682ca,GuideStone Funds MyDestination 2015 Fund Investor Class
Emerging-Markets Local-Currency Bond,Ashmore,3f08de06-22cd-4af6-8e21-da02b0046f81,Ashmore Emerging Markets Local Currency Bond Fund Class A
Target-Date 2045,Transamerica,09ebf052-9705-4b88-8485-88553758e844,Transamerica ClearTrack 2045 R6
Large Blend,Wells Fargo Funds,dff98d02-1df2-4c03-8bb1-18add680254b,Wells Fargo Large Cap Core Fund - Class R
Muni New Jersey,BlackRock,685e0df5-a185-42b9-a09d-771402ace709,BlackRock New Jersey Municipal Bond Fund Class K
Options-based,Nottingham,6a0c5461-c525-4d44-82d6-f3589d19cb02,Arin Large Cap Theta Fund Institutional Class
Target-Date 2020,BlackRock,9f0e4973-33d4-4bb5-a5ad-15b5a12ac8a2,BlackRock LifePath Index 2020 Fund Institutional Shares
Large Value,BlackRock,3446b45f-6938-46bc-ae93-68ac5d1e2d38,BlackRock Basic Value Fund Institutional Shares
World Bond,DWS,b970945f-a0d7-4d0f-8d38-cec2e6867a46,DWS High Conviction Global Bond Fund - Class S
Muni National Interm,Goldman Sachs,fa3b96ba-709b-49c3-b47d-1d6b60c88513,Goldman Sachs Dynamic Municipal Income Fund Class A
Foreign Small/Mid Blend,Oak Ridge Funds,dd00ccbc-7cae-44d4-b78c-2a4971fddb92,Oak Ridge International Small Cap Fund Class A
Diversified Emerging Mkts,Voya,085d1eac-c0f2-412e-9471-57ece0ccee0f,Voya Emerging Markets Index Portfolio Class I
Corporate Bond,Federated,38821e40-abe7-45dc-b708-87d9200fd3fb,Federated Bond Fund Class B Shares
Corporate Bond,Sterling Capital Funds,0f48952c-1047-49c2-a7eb-5492a86fbc7d,Sterling Capital Corporate Fund Institutional shares
Foreign Large Value,PGIM Funds (Prudential),438f2024-c356-48cf-8092-2b0226a3437c,PGIM QMA International Equity Fund- Class Z
Small Growth,Transamerica,bab99780-bb6b-4569-a290-a94ca6569267,Transamerica Small Cap Growth R6
World Large Stock,Causeway,651b1b6b-4589-4f09-b49f-ea708a7af9d8,Causeway Global Value Fund Investor
Managed Futures,Putnam,131eddd6-9d7a-4cee-a2e8-e52f36167304,Putnam PanAgora Managed Futures Strategy Class M
World Allocation,Wells Fargo Funds,85c79348-bcaa-45a2-84e9-b85e9e94a470,Wells Fargo Absolute Return Fund - Class R6
Intermediate-Term Bond,Franklin Templeton Investments,fb122bcd-a3f6-4993-9dff-b589ac14b5a7,Franklin Payout 2019 Fund Class R6
Large Growth,Praxis Mutual Funds,f93c8d85-1002-495d-9f18-2953293b58f2,Praxis Growth Index Fund Class A
Diversified Emerging Mkts,JOHCM Funds,ec5c2c58-3665-4579-afc5-211ed852dec3,JOHCM Emerging Markets Opportunities Fund Class I
Ultrashort Bond,PIMCO,c925fe1b-c7f5-46c0-b2f5-ad9a6d66817c,PIMCO Short Asset Investment Fund Class M
Large Blend,State Street Global Advisors,b3d898bb-77a1-4892-a1e8-d507d4ff09fc,State Street Institutional U.S. Equity Fund Service Class
Allocation - 15% to 30% Equity,American Funds,8bfb75ee-4a47-4b00-92b6-d7a53955e9b3,American Funds College 2021 Fund Class 529-E
Large Value,Diamond Hill Funds,d95bf6cc-b0ab-4c59-b3d9-2514bf8d51c7,Diamond Hill Large Cap Fund Class A
Short-Term Bond,American Funds,41b39b6e-76cf-4542-b457-f54cbbacd2ed,American Funds College 2018 Fund
Short-Term Bond,TIAA Investments,7490bfcf-ae8e-40e0-a140-15ddd5a98d95,TIAA-CREF Short-Term Bond Index Fund Institutional Class
High Yield Bond,Ivy Funds,0b1a2725-d004-4e08-99fa-c18d993053cd,Ivy High Income Fund Class T
Short-Term Bond,Neuberger Berman,5b93a166-8150-4fb5-8493-064338d419c0,Neuberger Berman Short Duration Bond Fund Class A
Trading - Leveraged Equity,ProFunds,166c5a63-1d39-464f-b1d8-006101479046,ProFunds Telecommunications UltraSector Fund Service Class
High Yield Bond,PGIM Funds (Prudential),6bc93e72-2f59-4eb2-86a4-8fd8866096be,PGIM Short Duration High Yield Income Fund- Class A
Multisector Bond,Virtus,b9aefd70-c3d2-43bc-b018-7b2b05edbc24,Virtus Newfleet Multi-Sector Intermediate Bond Fund Class I
Multisector Bond,Invesco,d3b73805-518b-49b4-93de-d11c0c46b424,Invesco Strategic Real Return Fund Class R
Ultrashort Bond,AMF,cd9b1f78-e450-489f-b6e5-ece691d5c021,Asset Management Fund Ultra Short Mortgage Fund
Large Blend,MFS,c6cdfecb-18b9-4bba-8e77-e79d3e6cc6ae,MFS Blended Research Core Equity Fund Class R4
World Allocation,Wells Fargo Funds,e17bf0bf-8051-4dfe-8708-8f085bc39892,Wells Fargo Absolute Return Fund - Class Inst
Short-Term Bond,BlackRock,b571acbb-aca5-40d3-a1e5-e8362cc61011,BlackRock Low Duration Bond Portfolio Class R
Target-Date 2000-2010,John Hancock,f8ae4edf-a98e-4338-9814-f3a2229b0b90,John Hancock Funds II Multimanager 2010 Lifetime Portfolio Class R1
Foreign Large Growth,Artisan,e1eaa498-107f-4815-9a0c-82257fef595c,Artisan International Fund Advisor Class
Long Government,Vanguard,4f335f12-8097-4dba-9f8e-27d515c7ee0b,Vanguard Long-Term Treasury Fund Admiral Shares
Corporate Bond,Ivy Funds,0fc19ff0-d5c1-43e7-8b20-db825e4008ee,Ivy ProShares S&P 500 Bond Index Fund Class N
Multialternative,Invesco,037fc0ba-19d7-42be-afc1-5427cc94e872,Invesco Global Targeted Returns Fund Class R6
High Yield Muni,Neuberger Berman,83679d64-0c65-4610-a4ad-d86911b64228,Neuberger Berman Municipal High Income Fund Institutional Class
Bear Market,PIMCO,7723006e-720e-4c97-825f-1752cd112736,PIMCO StocksPLUS Short Fund Class A
Muni National Short,Nuveen,875456fb-b41f-491b-8186-98fbc0b38bf3,Nuveen Short Term Municipal Bond Fund Class C2
Large Blend,Brown Advisory Funds,dd4297fa-8b3c-4bce-84b4-e264bd1f9bfe,Brown Advisory Equity Income Fund Investor Shares
Emerging Markets Bond,American Century Investments,c61c4db9-483a-43a6-8eef-4fbf0f576474,AC Alternatives Emerging Opportunities Total Return Fund Investor Class
Short-Term Bond,Franklin Templeton Investments,a154aecd-da82-44db-81b5-445f2422c457,Franklin Low Duration Total Return Fund Class R6
Target-Date 2020,JPMorgan,5b7f4c44-a8d5-4daa-8e27-29950f7e5561,JPMorgan SmartRetirement 2020 Fund Class R6
Large Blend,Dreyfus,151384a8-0c73-487e-9a7e-1912840bfdab,Dreyfus Sustainable U.S. Equity Fund Class Y
Target-Date 2015,Fidelity Investments,46d70519-d1ff-4aca-bf44-302e463ac225,Fidelity Advisor Freedom 2015 Fund Class I
World Small/Mid Stock,Conductor,cd1a8a62-8ef1-4a4f-b865-243a8cc66b02,Conductor Global Equity Value Fund Class Y
Long-Short Equity,Equinox,ec53b739-e1f3-4170-887c-eaf46bae02b7,Equinox Ampersand Strategy Fund Class A
Options-based,Swan,6c57c9d2-af72-4d7f-9bc6-10dfd2960cb7,Swan Defined Risk Emerging Markets Fund Class C
Foreign Large Blend,BlackRock,3009b180-7e73-489c-86de-b5b83a6cc966,BlackRock Advantage International Fund Investor A Shares
Target-Date 2035,Wells Fargo Funds,788aad30-341d-4e37-92e5-946a8885f394,Wells Fargo Target 2035 Fund - Class A
Allocation - 50% to 70% Equity,Regal,c3ddb75f-908f-45d4-a959-27de7e122936,Regal Total Return A
Muni California Long,Delaware Funds by Macquarie,112ac776-d98d-4e39-973e-aa4ecdfaeaf0,Delaware Tax-Free California Fund Class C
Short-Term Bond,Voya,32deaa65-0a4a-405b-8fce-3042d0d1894b,Voya Limited Maturity Bond Portfolio Class I
Small Growth,Wells Fargo Funds,b294eebe-59ff-415a-8c90-eb6254852bb8,Wells Fargo Emerging Growth Fund - Class A
Mid-Cap Growth,Carillon Family of Funds,a861d191-3527-4773-b353-a076195017d7,Carillon Eagle Mid Cap Growth Fund Class Y
Multisector Bond,John Hancock,ff5b16c6-0c98-4857-93f2-bdbcb8fd59cb,John Hancock Funds Short Duration Credit Opportunities Fund Class I
Managed Futures,Guggenheim Investments,615629d0-642d-4d78-abd5-d805bef370ea,Guggenheim Series Trust Managed Futures Strategy Fund Class A
Large Growth,Voya,2ec6eebe-8004-4ab1-9e18-4de37b1720b5,Voya Large-Cap Growth Fund Class C
Large Blend,Legg Mason,e290c006-a8a5-4cee-87c5-105b7f489034,ClearBridge Dividend Strategy Fund Class I
Large Blend,MFS,2930a983-a2be-4b02-a455-e40c384fb394,MFS Blended Research Core Equity Fund Class B
World Large Stock,Transamerica,fb130408-77e7-4a9e-a3c1-ea2b2c40192b,Transamerica Global Equity Class A
Small Blend,Teton Westwood Funds,2d6ed37c-e814-42bf-be41-2188e9564dfe,TETON Westwood SmallCap Equity Fund Class C
Foreign Large Value,John Hancock,0fb22428-a249-4d34-bd88-21f5598a08f2,John Hancock Funds III - John Hancock International Core Fund
Allocation - 50% to 70% Equity,Pacific Funds Series Trust,9a1e2128-4135-4a55-bbfb-1ca10778823e,Pacific Funds Portfolio Optimization Moderate Fund Class C
Bank Loan,Eaton Vance,064c6e6f-3e0a-49cb-849d-3e06b46d6d0a,Eaton Vance Floating-Rate & High Income Fund Class B
Small Value,Royce,21e45d84-1837-4ed3-81fa-1907a2a40df7,Royce Special Equity Fund Investment Class
Options-based,USCA,863260c8-fff9-4c32-a6dd-0c1aaaebc851,USCA Premium Buy-Write Fund Institutional Class Shares
Allocation - 30% to 50% Equity,Fidelity Investments,f10ebc05-bcbe-41b6-a549-acc517769e06,Fidelity Advisor Asset Manager 50% Fund Class A
Allocation - 30% to 50% Equity,Ladenburg Thalmann,2156fa67-15bc-416e-a1b5-0963a7a7ddda,Ladenburg Income & Growth Fund Class C
Intermediate-Term Bond,AAMA,5ed9b971-7faf-465a-9746-1a2667d75563,AAMA Income Fund
High Yield Bond,Goldman Sachs,37c33326-b1fb-4208-a7df-08f7ead749da,Goldman Sachs High Yield Fund Class C
Convertibles,Victory,8a688387-3b7f-4207-9a95-0772c8e60ec5,Victory INCORE Investment Grade Convertible Fund Class A
Mid-Cap Value,Principal Funds,03024b02-13ed-4a96-8720-918c402e6cbd,Principal MidCap Value Fund I R-4 Class
Large Blend,PNC Funds,c2191bad-d570-47a4-aa1f-f768005d13ad,PNC Multi-Factor All Cap Fund Class I
Large Blend,MainStay,fa816432-89ef-483d-901f-a2c71ed78c11,MainStay Epoch U.S. All Cap Fund Class I
Emerging Markets Bond,Goldman Sachs,627e94f5-3e08-43ed-88fd-4dcc04d94203,Goldman Sachs Emerging Markets Debt Fund Class C
Inflation-Protected Bond,TIAA Investments,622d1ada-ca0a-4e6c-a4f1-709717e9f872,TIAA-CREF Inflation-Linked Bond Fund Institutional Class
Foreign Large Growth,MassMutual,a5bdfbf7-e606-43dd-960b-31c467e8e530,MassMutual Premier International Equity Fund Class R5
Foreign Large Blend,Dreyfus,d808bf53-24bd-4483-a535-7db0435547f7,Dreyfus/Newton International Equity Fund Class I
Short-Term Bond,American Funds,eeae875b-2468-431d-b5d5-c475a597987e,American Funds Short-Term Bond Fund of America Class R-5
Large Growth,Transamerica,1d4f2e61-c129-44ff-a9fc-5d23dd6271e7,Transamerica Large Growth Fund Class R4
Muni California Long,First Investors,ef8256ca-ccbb-4da0-9a0f-81ab57d13cb1,First Investors Tax Exempt California Fund Institutional Class
Target-Date 2040,TIAA Investments,dde32bff-c754-48b5-ae9e-6b9ace913e47,TIAA-CREF Lifecycle 2040 Fund Retirement Class
Mid-Cap Growth,Allianz Funds,c3d1bc96-765f-4444-a664-67595a9351c7,AllianzGI Mid-Cap Fund Class R
Foreign Large Growth,Baillie Gifford Funds,c208d712-87f6-40ee-8164-c96a04bcbc4f,Baillie Gifford The International Equity Fund Class 3
Tactical Allocation,SEI,a65dc147-48cd-4619-89d0-c500cb4602f8,SEI Institutional Managed Trust Multi-Asset Income Fund Class F
Ultrashort Bond,Federated,1928e08f-6130-455c-a63f-ada3ad0040df,Federated Ultrashort Bond Fund Class A Shares
Long-Short Equity,Boston Partners,7fc7412e-fb6e-4cef-ab88-aaed6dff9575,Boston Partners Long/Short Equity Fund Institutional Class
Large Blend,Spirit of America,f86e979d-d41f-4d32-8d64-1769a6edb988,Spirit of America Large Cap Value Fund A
Foreign Large Blend,MFS,9fde9848-dcec-492f-bf85-95a2e7a5f7c7,MFS International Diversification Fund Class R3
Muni National Interm,Goldman Sachs,2bd53b3d-9203-4c5a-85c4-46381d799086,Goldman Sachs Dynamic Municipal Income Fund Class R6
Large Growth,Quaker,198abed3-108a-4c33-bb9b-215498aef6f6,Quaker Impact Growth Fund Advisor Class
Allocation - 85%+ Equity,RX Funds,4c975d3f-9125-42dc-b338-4752321752b9,Rx MAR Tactical Growth Fund
Small Growth,Federated,1ac79de1-766c-4ab8-a093-cf8b703c4cd8,Federated MDT Small Cap Growth Fund Institutional Shares
Multialternative,Vivaldi,605cde37-d871-429a-b330-4ee083f07df2,Vivaldi Multi-Strategy Fund Class I
Large Value,Catholic Investor,ce461972-551e-4961-a467-81351379afca,Catholic Investor Large Cap Value Fund Investor Shares
Technology,Invesco,5468015d-1cd3-4d4e-a789-c7d998fcf18d,Invesco Technology B
Mid-Cap Growth,Alger,35f37570-8b0a-4d6c-80c6-1a639b173b81,Alger Mid Cap Growth Institutional Fund Class R
Small Growth,Neuberger Berman,70857d2b-efea-44ed-b825-4f0f4ef3ca65,Neuberger Berman Small Cap Growth Fund Advisor Class
