category_r_squared_5years,5yrs_sharpe_ratio_fund,5_years_alpha_fund,5years_fund_r_squared,5years_fund_std,5yrs_sharpe_ratio_category,5_years_beta_fund,5yrs_treynor_ratio_fund,5_years_return_mean_annual_fund,5_years_return_mean_annual_category,5yrs_treynor_ratio_category,5_years_return_fund,5_years_alpha_category,5_years_beta_category,5years_category_std,tag,5_years_return_category
0.84,0.4,-2.19,83.58,8.86,0.0,1.22,2.63,0.36,0.0,0.02,4.01,-0.03,0.01,0.08,108710,3.01
0.78,0.61,-2.87,84.74,12.72,0.01,1.04,6.97,0.72,0.01,0.07,8.09,-0.03,0.01,0.14,99323,8.99
0.95,0.52,-1.72,95.79,10.28,0.01,1.51,3.3,0.51,0.01,0.04,5.79,-0.01,0.01,0.1,159749,6.41
0.97,0.47,-1.28,95.65,2.7,0.01,0.88,1.44,0.17,0.0,0.03,2.07,-0.0,0.01,0.03,72323,3.01
0.89,0.55,-1.34,91.84,10.88,0.01,1.57,3.58,0.57,0.01,0.03,6.4,-0.02,0.02,0.11,160595,5.99
0.15,0.44,1.04,26.55,7.49,0.0,1.33,2.33,0.3,0.0,0.05,3.42,0.01,0.01,0.07,57950,3.37
0.95,0.61,-0.75,96.93,9.15,0.01,1.35,3.95,0.53,0.0,0.04,6.16,-0.01,0.01,0.08,132182,5.56
0.65,0.37,-5.96,66.01,16.13,0.01,1.17,4.13,0.57,0.01,0.06,5.64,-0.03,0.01,0.17,179315,8.45
0.88,0.48,-0.78,88.09,4.39,0.01,0.62,3.32,0.24,0.0,0.05,2.85,-0.0,0.01,0.04,165032,3.45
0.24,0.39,0.89,8.08,4.46,0.01,0.44,3.8,0.21,0.0,0.0,2.49,0.01,0.0,0.03,220409,2.93
0.84,0.7,0.12,92.7,2.76,0.01,0.93,2.07,0.23,0.0,0.02,2.72,0.0,0.01,0.03,162134,2.51
0.65,0.44,-4.39,71.94,13.16,0.01,1.0,5.1,0.55,0.01,0.06,5.89,-0.03,0.01,0.17,177335,8.45
0.94,0.46,-0.92,95.66,1.91,0.01,0.61,1.41,0.14,0.0,0.02,1.67,-0.0,0.01,0.03,205091,2.99
0.86,0.83,-0.54,92.14,11.32,0.01,0.97,9.45,0.85,0.01,0.1,9.98,-0.0,0.01,0.13,35144,11.26
0.7,0.62,0.14,74.41,3.98,0.01,1.2,2.03,0.27,0.0,0.03,3.24,0.01,0.01,0.04,52577,3.58
0.95,0.57,-1.21,95.24,10.12,0.01,1.48,3.64,0.55,0.01,0.04,6.21,-0.01,0.01,0.1,199439,6.41
0.89,0.1,-1.29,90.92,13.46,0.0,1.07,0.41,0.18,0.0,-0.0,1.24,-0.02,0.01,0.12,65717,0.62
0.96,0.66,-0.23,97.43,7.01,0.01,1.04,4.36,0.45,0.0,0.04,5.34,-0.0,0.01,0.07,122543,5.09
0.95,0.6,-0.96,96.36,10.36,0.01,1.53,3.84,0.58,0.01,0.04,6.67,-0.01,0.01,0.1,130481,6.41
0.86,,,,,0.01,,,,0.01,0.1,0.0,-0.0,0.01,0.13,93608,11.26
0.78,0.53,3.85,81.62,11.18,0.0,0.84,6.49,0.56,0.01,0.06,6.26,0.04,0.01,0.11,171917,5.89
0.84,0.87,0.57,79.69,2.15,0.01,0.68,2.8,0.22,0.0,0.02,2.69,0.0,0.01,0.03,247616,2.51
0.81,-0.02,-2.2,73.64,11.02,0.0,0.79,-1.08,0.05,0.0,0.01,-0.05,-0.01,0.01,0.13,46295,1.59
0.95,0.64,-0.41,95.86,8.37,0.01,1.23,4.21,0.51,0.0,0.04,5.99,-0.01,0.01,0.08,136295,5.56
0.89,0.71,0.17,91.03,4.59,0.01,0.66,4.89,0.34,0.0,0.04,4.02,-0.01,0.01,0.06,46511,3.69
0.96,0.63,-0.56,97.04,9.03,0.01,1.34,4.1,0.54,0.01,0.04,6.28,-0.01,0.01,0.09,122894,5.95
0.78,0.5,3.31,73.71,10.26,0.0,0.73,6.44,0.49,0.01,0.06,5.52,0.04,0.01,0.11,129599,5.89
0.64,1.11,10.01,70.52,15.38,0.01,1.17,14.81,1.49,0.01,0.12,18.1,0.08,0.01,0.16,188054,15.26
0.76,-0.04,-2.58,75.27,12.12,0.0,0.87,-1.34,0.03,0.0,0.01,-0.37,-0.01,0.01,0.13,76859,1.22
0.53,0.52,1.56,49.64,11.89,0.0,0.76,7.46,0.58,0.01,0.07,6.44,0.01,0.01,0.12,118934,6.08
0.51,-0.18,-14.7,48.26,26.22,-0.0,1.65,-4.81,-0.33,-0.0,-0.04,-7.11,-0.11,0.01,0.2,158183,-4.25
0.63,0.21,-0.5,83.22,1.23,-0.0,0.39,0.66,0.09,0.0,-0.01,1.06,-0.01,0.0,0.01,201644,0.87
0.78,0.07,-11.76,67.47,17.24,0.01,1.27,-0.23,0.17,0.01,0.07,0.51,-0.03,0.01,0.14,231506,8.99
0.93,0.58,-3.46,94.41,11.37,0.01,0.99,6.28,0.62,0.01,0.08,7.0,-0.02,0.01,0.12,178496,8.91
0.01,0.5,1.72,0.28,3.21,0.01,-0.06,-26.64,0.2,0.0,-0.1,2.38,0.02,-0.0,0.03,134369,2.84
0.04,-0.53,-2.06,3.04,4.92,0.0,-0.3,9.08,-0.16,0.0,-0.09,-1.96,-0.0,-0.0,0.05,157499,0.22
0.86,0.6,-3.08,93.14,11.15,0.01,0.96,6.61,0.63,0.01,0.07,7.17,-0.03,0.01,0.11,47294,7.2
0.78,0.36,-6.35,73.28,14.92,0.01,1.14,3.77,0.51,0.01,0.07,5.1,-0.03,0.01,0.14,144170,8.99
0.65,0.39,-5.75,68.15,15.67,0.0,1.16,4.32,0.57,0.01,0.04,5.8,-0.06,0.01,0.15,205586,5.62
0.64,1.04,10.38,69.72,17.9,0.01,1.35,13.73,1.62,0.01,0.12,19.36,0.08,0.01,0.16,196433,15.26
0.94,1.0,0.12,96.99,2.83,0.01,0.93,3.06,0.3,0.0,0.03,3.65,-0.0,0.01,0.03,197351,3.88
0.12,,,,,0.01,,,,0.0,-0.13,0.0,0.01,-0.0,0.03,124316,2.04
0.84,0.93,0.93,91.3,3.34,0.01,1.12,2.79,0.33,0.0,0.02,3.92,0.0,0.01,0.03,199808,2.51
0.03,0.67,2.56,3.1,4.62,0.01,0.28,10.82,0.33,0.0,0.11,3.88,0.02,0.0,0.05,155888,3.45
0.86,0.75,-1.11,84.28,13.12,0.01,1.08,8.81,0.89,0.01,0.1,10.27,-0.0,0.01,0.13,151748,11.26
0.95,0.65,-0.42,96.84,10.22,0.01,1.51,4.22,0.62,0.01,0.04,7.18,-0.01,0.01,0.1,135269,6.41
0.89,0.51,-1.15,83.36,8.68,0.01,1.19,3.51,0.44,0.0,0.04,4.99,-0.01,0.01,0.08,176435,5.12
0.85,0.47,-0.3,83.18,1.98,0.0,0.64,1.47,0.15,0.0,0.01,1.74,-0.0,0.01,0.02,28034,1.86
0.7,0.91,0.9,75.34,2.83,0.01,0.86,3,0.28,0.0,0.03,3.38,0.01,0.01,0.04,50813,3.58
0.9,0.23,0.42,90.22,11.85,0.0,0.94,2.2,0.29,0.0,0.01,2.86,-0.0,0.01,0.12,119159,2.1
0.6,0.21,-8.47,71.19,15.09,0.0,1.14,1.82,0.33,0.0,0.03,2.88,-0.07,0.01,0.16,198989,3.94
0.78,,,,,0.0,,,,0.01,0.06,0.0,0.04,0.01,0.11,142568,5.89
0.28,0.87,6.62,29.36,11.55,0.01,0.57,17.48,0.9,0.01,0.12,10.69,0.04,0.01,0.14,106289,8.29
0.78,0.5,3.91,83.12,12.33,0.0,0.94,6.01,0.58,0.01,0.06,6.43,0.04,0.01,0.11,126233,5.89
0.79,0.75,-0.31,71.8,13.02,0.0,0.99,9.52,0.88,0.01,0.05,10.19,-0.05,0.01,0.13,57167,5.87
0.86,0.82,-0.47,88.84,12.67,0.01,1.07,9.52,0.94,0.01,0.1,10.95,-0.0,0.01,0.13,70730,11.26
0.86,0.42,-5.28,74.03,14.43,0.01,1.11,4.68,0.57,0.01,0.07,6.0,-0.03,0.01,0.11,38411,7.2
0.64,0.56,4.98,63.64,12.49,0.0,0.83,7.79,0.65,0.0,0.05,7.26,0.03,0.01,0.13,211292,4.93
0.89,1.23,4.25,87.14,7.39,0.01,1.04,8.95,0.83,0.0,0.04,10.08,-0.01,0.01,0.08,245717,5.12
0.96,0.49,-1.91,97.39,9.24,0.01,1.37,3.07,0.44,0.01,0.04,5.0,-0.01,0.01,0.09,101717,5.95
0.94,,,,,0.01,,,,0.0,0.02,0.0,-0.0,0.01,0.03,240371,2.99
0.84,0.36,-0.92,99.5,2.87,0.01,1.0,1,0.15,0.0,0.02,1.81,0.0,0.01,0.03,157283,2.51
0.76,0.56,-0.21,43.42,2.72,0.0,0.59,2.53,0.19,0.0,0.01,2.29,-0.01,0.01,0.02,178190,1.51
0.93,0.74,-1.72,94.34,11.85,0.01,1.03,8.23,0.8,0.01,0.08,9.26,-0.02,0.01,0.12,233585,8.91
0.76,0.82,0.94,86.98,5.95,0.01,0.84,5.77,0.47,0.0,0.04,5.63,-0.0,0.0,0.04,74258,2.81
0.85,0.44,-0.57,94.02,2.58,0.0,0.87,1.28,0.16,0.0,0.01,1.92,-0.0,0.01,0.02,27071,1.86
0.78,,,,,0.0,,,,0.01,0.06,0.0,0.04,0.01,0.11,186461,5.89
0.86,0.68,-2.48,92.29,12.29,0.01,1.06,7.47,0.76,0.01,0.1,8.69,-0.0,0.01,0.13,252188,11.26
0.93,0.71,-1.84,93.05,10.73,0.01,0.93,7.92,0.7,0.01,0.08,8.14,-0.02,0.01,0.12,249740,8.91
0.66,0.22,-0.67,69.1,1.18,0.0,0.32,0.8,0.09,0.0,0.04,1.06,-0.01,0.0,0.01,103868,1.14
0.17,0.39,1.81,4.32,7.33,0.01,0.53,4.95,0.3,0.0,0.07,3.44,0.03,0.01,0.05,178064,4.48
0.93,0.78,0.51,91.83,4.88,0.01,0.7,5.38,0.38,0.0,0.05,4.59,0.0,0.01,0.05,205172,4.16
0.65,0.51,-2.61,54.78,15.42,0.0,1.02,6.78,0.72,0.01,0.04,7.72,-0.06,0.01,0.15,42056,5.62
0.76,0.06,-1.14,62.5,11.15,0.0,0.73,0.06,0.12,0.0,0.01,0.85,-0.01,0.01,0.13,230624,1.22
0.9,0.08,-1.24,86.81,11.25,0.0,0.87,0.31,0.14,0.0,0.01,1.08,-0.0,0.01,0.12,127799,2.1
0.47,,,,,0.0,,,,0.0,0.02,0.0,-0.01,0.0,0.05,129239,1.36
0.52,0.14,-0.61,40.68,2.1,0.0,0.47,0.6,0.09,0.0,0.01,1.09,-0.01,0.01,0.04,131372,1.43
0.95,0.65,-0.26,98.37,5.27,0.01,0.78,4.28,0.35,0.0,0.05,4.17,-0.0,0.01,0.05,102095,4.42
0.1,-0.08,-3.59,10.75,11.71,-0.0,1.34,-1.23,-0.01,-0.0,-0.01,-0.84,-0.03,0.01,0.1,74366,-0.68
0.96,,,,,0.01,,,,0.01,0.04,0.0,-0.01,0.01,0.1,228905,6.35
0.93,0.68,-2.36,90.26,12.53,0.01,1.06,7.59,0.78,0.01,0.08,8.88,-0.02,0.01,0.12,73016,8.91
0.88,0.98,0.21,91.14,3.5,0.01,1.11,3.12,0.35,0.0,0.03,4.27,-0.0,0.01,0.03,157526,3.51
0.68,0.07,-3.19,48.71,5.6,0.0,0.35,0.73,0.1,0.0,0.05,1.06,-0.02,0.0,0.07,41228,3.54
0.94,0.75,0.33,96.36,5.63,0.01,0.83,5.03,0.42,0.0,0.04,4.98,-0.0,0.01,0.06,143873,4.58
0.86,0.45,-5.09,85.21,12.87,0.01,1.06,4.8,0.55,0.01,0.07,5.9,-0.03,0.01,0.11,148913,7.2
0.32,0.24,-0.83,51.59,3.34,0.0,0.84,0.9,0.13,0.0,0.0,1.56,-0.01,0.01,0.05,224702,1.1
0.94,1.12,0.69,81.74,2.79,0.01,0.84,3.78,0.33,0.0,0.02,3.96,-0.0,0.01,0.03,104282,2.99
0.83,,,,,0.0,,,,0.0,0.02,0.0,0.01,0.01,0.12,179297,2.88
0.71,0.22,0.6,77.24,15.21,0.0,1.11,2.01,0.34,0.0,0.02,3.04,0.0,0.01,0.15,118052,2.61
0.7,0.52,0.08,53.5,3.75,0.01,0.96,2,0.23,0.0,0.03,2.72,0.01,0.01,0.04,81080,3.58
0.7,0.94,0.85,73.06,2.37,0.01,0.71,3.16,0.25,0.0,0.03,3.04,0.01,0.01,0.04,216233,3.58
0.89,0.11,-1.11,96.09,12.0,0.0,0.98,0.6,0.17,0.0,-0.0,1.39,-0.02,0.01,0.12,190349,0.62
0.65,0.6,-2.37,66.38,15.88,0.01,1.16,7.42,0.85,0.01,0.06,9.38,-0.03,0.01,0.17,212354,8.45
0.78,0.28,1.17,78.22,11.63,0.0,0.86,3.09,0.34,0.01,0.06,3.45,0.04,0.01,0.11,55529,5.89
0.46,,,,,0.0,,,,0.0,0.02,0.0,-0.01,0.01,0.1,194768,1.65
0.84,0.22,-2.53,81.12,6.14,0.0,0.83,1.43,0.18,0.0,0.02,1.99,-0.03,0.01,0.08,248498,3.01
0.84,,,,,0.01,,,,0.0,0.02,0.0,0.0,0.01,0.03,90638,2.51
0.86,1.02,1.5,94.74,11.81,0.01,1.03,11.68,1.07,0.01,0.1,12.79,-0.0,0.01,0.13,155042,11.26
0.71,0.34,2.46,70.98,14.78,0.0,1.04,3.88,0.48,0.0,0.02,4.82,0.0,0.01,0.15,133955,2.61
0.14,2.15,0.75,9.8,0.34,0.01,-0.04,-19.88,0.12,0.0,0.05,1.49,0.0,0.0,0.01,181250,1.18
0.93,0.74,-1.79,96.55,11.82,0.01,1.04,8.18,0.8,0.01,0.08,9.29,-0.02,0.01,0.12,226106,8.91
0.76,0.6,0.23,54.78,2.8,0.01,0.31,5.37,0.21,0.0,0.04,2.48,-0.0,0.0,0.04,62207,2.81
0.86,0.66,-2.76,93.53,12.28,0.01,1.06,7.21,0.74,0.01,0.07,8.46,-0.03,0.01,0.11,66482,7.2
,,,,,,,,,,,2.84,,,,58373,1.45
0.52,,,,,0.01,,,,0.0,0.03,0.0,0.0,0.0,0.01,235151,1.45
0.03,0.43,2.22,0.45,5.72,0.01,0.13,17.65,0.27,0.0,0.11,3.16,0.02,0.0,0.05,251135,3.45
0.52,-0.1,-0.46,66.2,0.73,0.01,0.2,-0.38,0.06,0.0,0.03,0.73,0.0,0.0,0.01,173771,1.45
0.0,0.18,-6.74,29.36,21.79,0.0,1.06,1.64,0.4,0.0,0.0,2.54,0.0,0.0,0.0,228959,0.0
0.03,1.06,2.61,3.65,2.82,0.01,0.19,15.95,0.31,0.0,0.11,3.8,0.02,0.0,0.05,115361,3.45
0.24,0.61,1.59,11.79,4.16,0.01,0.5,5.04,0.28,0.0,0.0,3.33,0.01,0.0,0.03,245132,2.93
0.24,,,,,0.01,,,,0.0,0.0,0.0,0.01,0.0,0.03,223604,2.93
0.14,-1.06,-1.16,33.35,0.73,0.01,0.16,-5.27,0.0,0.0,0.05,-0.05,0.0,0.0,0.01,38744,1.18
0.93,0.71,-2.16,97.83,11.37,0.01,1.01,7.75,0.74,0.01,0.08,8.6,-0.02,0.01,0.12,165878,8.91
0.84,0.2,-2.64,80.84,6.15,0.0,0.83,1.3,0.17,0.0,0.02,1.88,-0.03,0.01,0.08,248111,3.01
0.52,0.39,-0.09,53.49,0.83,0.01,0.21,1.52,0.09,0.0,0.03,1.12,0.0,0.0,0.01,46718,1.45
0.93,0.56,-0.7,97.14,5.29,0.01,0.78,3.69,0.31,0.0,0.05,3.7,0.0,0.01,0.05,131777,4.16
0.83,0.21,0.26,81.34,11.84,0.0,0.89,2,0.27,0.0,0.03,2.58,0.01,0.01,0.12,36413,3.86
0.86,0.48,-1.55,86.37,10.29,0.0,3.35,1.37,0.48,0.0,0.01,5.38,-0.02,0.03,0.1,247634,5.34
0.7,,,,,0.01,,,,0.0,0.03,0.0,0.01,0.01,0.04,121823,3.58
0.47,0.11,0.0,2.66,3.23,0.0,0.08,4.04,0.1,0.0,0.02,1.12,-0.01,0.0,0.05,101393,1.36
0.81,,,,,0.01,,,,0.0,0.04,0.0,0.01,0.01,0.04,172268,5.26
0.75,-1.0,-0.99,96.51,9.77,-0.01,-0.86,11.46,-0.75,-0.01,0.12,-9.01,-0.01,-0.02,0.22,198818,-17.0
0.66,-0.22,-0.91,65.01,0.92,0.0,0.24,-0.85,0.05,0.0,0.04,0.6,-0.01,0.0,0.01,174077,1.14
0.93,0.72,-1.56,92.43,9.98,0.01,0.86,8.12,0.67,0.01,0.08,7.76,-0.02,0.01,0.12,45530,8.91
0.15,,,,,0.0,,,,0.0,0.05,0.0,0.01,0.01,0.07,30419,3.37
0.52,0.94,0.68,12.62,0.98,0.01,0.12,7.65,0.14,0.0,0.03,1.72,0.0,0.0,0.01,87920,1.45
0.94,0.72,0.16,95.46,6.16,0.01,0.91,4.79,0.43,0.0,0.04,5.14,-0.0,0.01,0.06,137249,4.58
0.93,0.69,-2.25,95.18,11.01,0.01,0.96,7.54,0.7,0.01,0.08,8.04,-0.02,0.01,0.12,69902,8.91
0.95,0.73,0.21,97.22,6.18,0.01,0.92,4.85,0.44,0.0,0.05,5.25,-0.0,0.01,0.05,83492,4.42
0.64,0.56,4.01,73.99,10.52,0.0,0.76,7.26,0.56,0.0,0.05,6.29,0.03,0.01,0.13,203975,4.93
0.55,0.66,-0.88,66.64,10.48,0.0,0.76,8.67,0.64,0.0,0.02,7.43,-0.03,0.01,0.09,72629,2.75
0.68,,,,,0.0,,,,0.0,0.05,0.0,-0.02,0.0,0.07,217241,3.54
0.9,0.25,0.7,84.69,10.97,0.0,0.84,2.62,0.3,0.0,0.01,3.0,-0.0,0.01,0.12,48626,2.1
0.96,0.56,-1.11,98.0,8.2,0.01,1.22,3.61,0.45,0.01,0.04,5.21,-0.01,0.01,0.09,250550,5.95
0.89,,,,,0.01,,,,0.0,0.04,0.0,-0.01,0.01,0.08,212318,5.12
0.94,0.81,-0.44,95.96,3.18,0.01,1.04,2.5,0.28,0.0,0.03,3.4,0.0,0.01,0.03,70379,4.08
0.52,0.89,0.24,67.66,0.75,0.01,0.21,3.1,0.12,0.0,0.03,1.45,0.0,0.0,0.01,120140,1.45
0.65,0.51,-3.4,57.32,19.19,0.01,1.3,6.45,0.89,0.01,0.06,9.18,-0.03,0.01,0.17,249623,8.45
0.78,0.71,-1.83,83.54,14.78,0.01,1.21,8.2,0.94,0.01,0.07,10.7,-0.03,0.01,0.14,113273,8.99
0.24,0.44,1.02,2.51,3.1,0.01,0.17,7.71,0.18,0.0,0.0,2.12,0.01,0.0,0.03,132785,2.93
0.46,-0.03,-2.52,51.72,9.78,0.0,0.67,-1.2,0.04,0.0,0.02,0.0,-0.01,0.01,0.1,214055,1.65
0.86,0.93,0.61,92.03,11.98,0.01,1.03,10.69,0.99,0.01,0.1,11.79,-0.0,0.01,0.13,171863,11.26
0.93,0.87,-0.05,91.72,10.21,0.01,0.87,10.02,0.81,0.01,0.08,9.56,-0.02,0.01,0.12,222614,8.91
0.93,0.62,-3.17,97.88,11.38,0.01,1.01,6.68,0.66,0.01,0.08,7.53,-0.02,0.01,0.12,166022,8.91
0.78,0.42,2.8,79.62,11.86,0.0,0.88,4.96,0.48,0.01,0.06,5.17,0.04,0.01,0.11,120563,5.89
0.65,0.42,-4.94,63.97,15.88,0.0,1.14,4.93,0.62,0.01,0.04,6.4,-0.06,0.01,0.15,253421,5.62
0.89,0.28,-0.31,88.77,13.23,0.0,0.92,3.15,0.32,0.0,-0.0,3.01,-0.02,0.01,0.12,102428,0.62
0.89,0.45,-1.82,96.77,7.6,0.01,1.12,2.88,0.35,0.0,0.04,4.04,-0.01,0.01,0.08,194354,5.12
0.01,0.58,1.94,0.1,3.21,0.01,-0.04,-52.82,0.22,0.0,-0.1,2.65,0.02,-0.0,0.03,71648,2.84
0.6,0.32,-4.54,50.11,13.78,0.0,0.87,4.04,0.43,0.0,0.03,4.33,-0.07,0.01,0.16,214379,3.94
0.68,,,,,0.0,,,,0.0,0.05,0.0,-0.02,0.0,0.07,219671,3.54
0.89,0.63,-0.39,96.44,6.35,0.01,0.94,4.16,0.4,0.0,0.04,4.71,-0.01,0.01,0.06,82628,3.69
0.89,,,,,0.01,,,,0.0,0.04,0.0,-0.01,0.01,0.06,145241,3.69
0.84,,,,,0.01,,,,0.0,0.02,0.0,0.0,0.01,0.03,34784,2.51
0.03,0.29,1.07,2.01,5.43,0.01,0.27,5.47,0.2,0.0,0.11,2.27,0.02,0.0,0.05,103976,3.45
0.79,0.92,2.08,79.29,7.13,0.01,0.95,6.85,0.61,0.01,0.04,7.34,-0.0,0.01,0.09,215675,5.89
0.79,0.47,-4.67,86.96,12.1,0.0,1.01,5.02,0.54,0.01,0.05,5.87,-0.05,0.01,0.13,180530,5.87
0.93,0.58,-3.49,85.36,13.0,0.01,1.08,6.44,0.69,0.01,0.08,7.72,-0.02,0.01,0.12,191528,8.91
0.93,0.64,-3.2,96.01,12.53,0.01,1.1,6.87,0.74,0.01,0.08,8.35,-0.02,0.01,0.12,149822,8.91
0.15,0.44,0.76,22.61,6.32,0.0,1.05,2.53,0.3,0.0,0.05,3.47,0.01,0.01,0.07,103643,3.37
0.52,0.22,-1.01,61.4,3.22,0.0,0.88,0.75,0.13,0.0,0.01,1.46,-0.01,0.01,0.04,233018,1.43
0.83,0.07,-1.44,84.66,12.04,0.0,0.92,0.11,0.14,0.0,0.03,0.91,0.01,0.01,0.12,156275,3.86
0.9,0.16,-0.24,84.06,11.19,0.0,0.86,1.46,0.22,0.0,0.01,2.05,-0.0,0.01,0.12,222281,2.1
0.52,0.43,-0.1,64.73,0.86,0.01,0.24,1.54,0.1,0.0,0.03,1.17,0.0,0.0,0.01,203768,1.45
0.86,0.95,1.31,86.5,13.43,0.01,1.12,11.27,1.13,0.01,0.1,13.38,-0.0,0.01,0.13,232010,11.26
0.94,0.95,0.02,94.97,2.86,0.01,0.93,2.96,0.3,0.0,0.03,3.55,0.0,0.01,0.03,85013,4.08
0.95,0.61,-0.82,94.56,10.31,0.01,1.51,3.93,0.59,0.01,0.04,6.72,-0.01,0.01,0.09,228761,6.18
0.78,0.61,-3.11,80.04,14.93,0.01,1.19,6.99,0.82,0.01,0.07,9.14,-0.03,0.01,0.14,196820,8.99
0.83,0.39,2.54,90.99,12.85,0.0,1.02,4.25,0.49,0.0,0.03,5.14,0.01,0.01,0.12,44936,3.86
0.68,1.19,2.06,62.64,3.24,0.0,0.39,10.16,0.39,0.0,0.03,4.72,-0.02,0.01,0.08,220445,3.06
0.14,0.2,-0.03,16.71,0.46,0.01,0.06,1.4,0.07,0.0,0.05,0.89,0.0,0.0,0.01,94904,1.18
0.55,0.19,-2.2,21.39,9.57,0.0,0.4,3.61,0.22,0.0,0.02,2.24,-0.03,0.01,0.09,47942,2.75
0.93,0.64,-2.92,98.33,11.23,0.01,1.0,6.91,0.67,0.01,0.08,7.68,-0.02,0.01,0.12,222551,8.91
0.9,0.42,2.42,90.9,10.82,0.0,0.86,4.71,0.44,0.0,0.01,4.85,-0.0,0.01,0.12,151973,2.1
