fund_id,tag,fund_ratio_net_annual_expense,pb_ratio,ps_ratio,mmc,pc_ratio,pe_ratio
52b259b2-7f1d-4243-879f-4b21780f856f,122894,0.39,2.05,1.5,"54,925.07",7.62,15.28
86499eab-a203-4d6c-a524-d314cc0aea9a,129599,1.13,2.24,1.78,"74,038.69",3.13,14.12
fcad9b90-d245-4ae7-9e0a-32e9bea42599,188054,1.15,1.96,2.01,"35,714",6.85,13.28
68005c8e-42a6-4645-877d-2d909076b7dd,76859,1.38,4.19,2.57,"41,350.78",14.32,17.44
0eec9829-4e3d-416c-ac9d-2f41283316f5,118934,0.93,1.34,4.23,"9,954.46",9.09,16.43
0a53c8fa-1c27-4876-bf42-f37fe9c97263,158183,3.62,1.51,0.78,"11,820.96",3.03,12.25
11c8964a-d542-4a91-8363-616e9b50b090,201644,0.43,0.0,0,0,0,0
9dc9eb73-35c1-48f0-a5af-6875689fc136,231506,2.29,3.36,2.31,"6,132.57",9.36,12.91
b9a71e92-be3a-4e6f-9a17-370b2632e5f8,178496,0.88,2.83,2.1,"71,581.96",10.16,17.43
1ccceb82-c7c4-420e-81cc-667fd864e4f4,134369,0.75,0.0,0.0,"4,890.69",0.0,0.0
5f51b039-dd1a-46e4-b471-0a204c75bc34,157499,1.5,1.36,0.7,"7,593.39",5.63,9.8
11959895-6ecc-4031-b6f1-0fce1629d435,47294,1.88,1.92,1.44,"68,697.92",6.73,12.52
3112a566-6ccb-4c1c-ac06-c685ff859493,144170,1.0,2.88,2.74,"4,643.77",14.76,19.99
809b6e79-34b9-4c28-9207-55a4f88fbde6,205586,1.41,1.72,0.88,"1,754.05",6.03,15.83
c62dd5a7-7b84-413e-b629-d1212211b89b,196433,0.89,4.87,5.43,"92,324.91",16.12,27.28
3f6e4203-1560-4a1c-8844-bbcde53208f2,197351,0.53,0.0,0,0,0,0
76317970-6e2c-487a-a66c-051709fab161,124316,0.79,0.0,0.0,0,0.0,0.0
31c207db-1b17-4a68-9305-fa1c75760b65,199808,0.41,0.56,0.99,828.01,0.46,3.65
1c08679a-d627-47f2-a5d5-87c9415af3ec,155888,1.34,0.0,0.0,630.87,0.0,0.0
c3cfdd4c-690c-4eed-8ee8-6bd75586a688,151748,1.28,6.73,4.01,"110,705.65",20.94,30.85
337e1e79-df30-4526-a519-e19e04bc0afd,135269,0.36,2.0,1.44,"36,618.51",7.52,15.24
167dff20-8aff-4bd6-8efb-4094fdccc930,176435,0.59,1.67,1.01,"50,153.62",2.96,12.2
17cb909c-d47d-4039-baa0-8edc46aa7919,28034,0.92,0.0,0.0,0,0,0
c2896226-0c05-4162-96b9-c12a94c8cab6,50813,0.8,0.0,0.0,0,0,0
c9f90fe4-6afe-4779-8c03-a32bf29270d2,119159,0.81,1.78,1.66,"50,609.84",6.76,15.04
ebd9bad0-3ec5-4558-bba5-63c340261c62,198989,0.81,1.76,1.14,"2,846.75",5.98,13.01
06c31e27-bfc9-4117-87ff-33ce4b216713,142568,1.25,1.94,1.54,"49,512.25",7.85,15.87
e0843d68-35e1-42ae-be61-cd1dd88fc6a0,106289,1.77,2.24,6.77,"12,876.54",15.53,37.38
42aabb83-fe2d-4487-b86e-aa7bf103e0b8,126233,0.84,1.66,1.83,"45,466.94",4.87,11.86
16dda9f3-b0ff-4ed0-83f1-130aa2d354a7,57167,0.91,2.19,1.05,"9,271.64",8.7,13.82
5cfbb979-2567-46da-a8bc-ae398d73591d,70730,1.03,6.01,2.85,"96,121.1",15.75,23.77
94a29f34-ca13-43fe-a7f1-497fab5581ca,38411,1.02,1.65,1.12,"54,944.9",7.13,12.36
ce174fd0-c714-4149-bb6e-82d3455b20a6,211292,1.5,2.65,1.67,"3,631.26",8.78,20.31
6e6a4e58-7346-45c0-be3d-23bcfbf13556,245717,0.64,3.42,2.57,"59,920.99",14.46,17.78
c7f0a127-c4e5-4bd5-a794-b3439b576d53,101717,0.75,2.04,1.47,"50,174.14",7.45,15.26
80024c1d-8bf2-43ab-92b0-f82615117cc5,240371,0.65,0.0,0,0,0,0
6e43421e-36f0-4182-9e0d-9a8d30f3fab7,157283,0.92,0.0,0.0,0,0.0,0.0
19de65db-f280-483e-8d51-62f636b2cb3a,178190,1.73,0.0,0,0,0,0
141a1a82-a86c-4f1b-971f-aed6c3d3525f,233585,0.56,3.03,1.8,"91,400.08",9.03,15.81
e537861f-ac24-4900-897b-53b0740f11e2,74258,0.85,1.9,1.08,"26,728.83",6.31,13.2
cca3bf59-99c1-4f68-8ddb-a93732b6b06f,27071,0.37,0.0,0.0,0,0,0
41ddd18f-a08f-46be-bdbf-712be9c1c1d8,186461,0.51,1.13,0.7,"31,490.09",3.61,9.45
0abe57f4-0799-4ac0-9291-29ea36e127a0,252188,0.75,2.67,2.26,"39,313.31",9.02,17.2
1a807613-dc59-404c-9e9d-c3db96d303fb,249740,1.6,2.5,2.0,"83,366.74",12.62,14.0
468b76c0-a276-45b9-ad76-1a9d6c336ed6,103868,0.89,0.0,0.0,0,0.0,0.0
557df110-6ac1-44c7-b21b-70181cd535db,178064,2.1,1.14,1.95,"2,796.53",4.1,10.29
14ebe411-d1a7-43cc-b675-49c51a28e2fd,205172,0.69,2.29,1.85,"84,747.86",8,15.24
47fd480a-cd92-41fc-9bd6-b1ae2185278b,42056,1.0,1.65,0.79,962.85,6.64,11.2
f3cb90cd-9a67-45b9-8ebe-200967997567,230624,1.29,0.98,0.7,"15,286.86",4.47,11.66
3c600ea2-9849-471c-bd43-fef7820d6cc9,127799,0.88,1.24,0.93,"30,898.97",3.95,10.46
68511108-9ab7-48ee-a4ae-2745ae7efbeb,129239,2.93,2.03,1.27,"21,283.3",7.23,15.7
b1d586d2-da95-4d3a-bc79-12b53fdcedfd,131372,0.75,0.0,0.0,0,0.0,0.0
a4785dc8-9a98-416e-92a1-d5a45c9682ca,102095,0.75,2.1,1.53,"50,007.17",7.8,15.52
3f08de06-22cd-4af6-8e21-da02b0046f81,74366,1.22,0.0,0.0,0,0,0
09ebf052-9705-4b88-8485-88553758e844,228905,0.55,2.15,1.54,"48,644.61",7.72,15.83
dff98d02-1df2-4c03-8bb1-18add680254b,73016,1.33,2.87,0.98,"42,371.68",7.59,14.26
685e0df5-a185-42b9-a09d-771402ace709,157526,0.57,0.0,0.0,0,0.0,0.0
6a0c5461-c525-4d44-82d6-f3589d19cb02,41228,0.72,0.0,0.49,533.93,6.5,10.48
9f0e4973-33d4-4bb5-a5ad-15b5a12ac8a2,143873,0.16,1.99,1.45,"36,795.69",7.36,15.36
3446b45f-6938-46bc-ae93-68ac5d1e2d38,148913,0.55,1.78,1.4,"58,661.61",6.52,13.17
b970945f-a0d7-4d0f-8d38-cec2e6867a46,224702,0.8,0.0,0,0,0,0
fa3b96ba-709b-49c3-b47d-1d6b60c88513,104282,0.76,0.0,0.0,0,0.0,0.0
dd00ccbc-7cae-44d4-b78c-2a4971fddb92,179297,1.51,2.02,0.83,"2,480.56",10.5,15.26
085d1eac-c0f2-412e-9471-57ece0ccee0f,118052,0.55,1.4,1.15,"27,439.79",4.63,9.84
38821e40-abe7-45dc-b708-87d9200fd3fb,81080,1.73,0.0,0.0,0,0,0
0f48952c-1047-49c2-a7eb-5492a86fbc7d,216233,0.63,0.0,0,0,0,0
438f2024-c356-48cf-8092-2b0226a3437c,190349,1.0,1.24,0.91,"24,390.65",4.9,10.78
bab99780-bb6b-4569-a290-a94ca6569267,212354,1.01,3.3,1.6,"2,373.01",15.54,27.7
651b1b6b-4589-4f09-b49f-ea708a7af9d8,55529,1.3,1.19,1.04,"38,266.65",5.62,11.46
131eddd6-9d7a-4cee-a2e8-e52f36167304,194768,2.13,0.0,0,0,0,0
85c79348-bcaa-45a2-84e9-b85e9e94a470,248498,1.12,1.24,0.69,"17,490.95",5.01,8.49
fb122bcd-a3f6-4993-9dff-b589ac14b5a7,90638,0.3,0.0,0.0,0,0,0
f93c8d85-1002-495d-9f18-2953293b58f2,155042,0.85,4.71,3.13,"120,532.69",11.1,21.23
ec5c2c58-3665-4579-afc5-211ed852dec3,133955,1.34,1.52,1.36,"25,362.33",4.81,11.75
c925fe1b-c7f5-46c0-b2f5-ad9a6d66817c,181250,0.34,0.0,0,0,0,0
b3d898bb-77a1-4892-a1e8-d507d4ff09fc,226106,0.62,3.1,2.7,"115,159.44",11.23,18.3
8bfb75ee-4a47-4b00-92b6-d7a53955e9b3,62207,0.95,2.68,1.96,"85,336.61",8.73,15.66
d95bf6cc-b0ab-4c59-b3d9-2514bf8d51c7,66482,0.96,1.89,1.74,"79,343.47",8.37,14.18
41b39b6e-76cf-4542-b457-f54cbbacd2ed,58373,0.2,,,,,
7490bfcf-ae8e-40e0-a140-15ddd5a98d95,235151,0.12,0.0,0,0,0,0
0b1a2725-d004-4e08-99fa-c18d993053cd,251135,0.82,1.5,0.64,"2,247.59",3.75,23.76
5b93a166-8150-4fb5-8493-064338d419c0,173771,0.77,0.0,0,0,0,0
166c5a63-1d39-464f-b1d8-006101479046,228959,2.78,1.78,1.4,"29,279.81",5.88,14.05
6bc93e72-2f59-4eb2-86a4-8fd8866096be,115361,1.0,0.0,0.0,0,0.0,0.0
b9aefd70-c3d2-43bc-b018-7b2b05edbc24,245132,0.77,0.0,0,825.33,0,0
d3b73805-518b-49b4-93de-d11c0c46b424,223604,1.07,0.0,0,0,0,0
cd9b1f78-e450-489f-b6e5-ece691d5c021,38744,1.61,0.0,0.0,0,0,0
c6cdfecb-18b9-4bba-8e77-e79d3e6cc6ae,165878,0.49,2.53,1.42,"100,084.95",7.32,14.49
e17bf0bf-8051-4dfe-8708-8f085bc39892,248111,1.13,1.24,0.69,"17,490.95",5.01,8.49
b571acbb-aca5-40d3-a1e5-e8362cc61011,46718,0.9,0.0,0.0,0,0,0
f8ae4edf-a98e-4338-9814-f3a2229b0b90,131777,1.26,2.03,1.52,"38,701.93",6.94,15.63
e1eaa498-107f-4815-9a0c-82257fef595c,36413,1.04,2.62,1.92,"44,290.24",9.52,16.56
4f335f12-8097-4dba-9f8e-27d515c7ee0b,247634,0.1,0.0,0.0,0,0.0,0.0
0fc19ff0-d5c1-43e7-8b20-db825e4008ee,121823,0.4,0.0,0.0,0,0.0,0.0
037fc0ba-19d7-42be-afc1-5427cc94e872,101393,1.19,1.13,0.92,"28,533.67",2.0,9.96
83679d64-0c65-4610-a4ad-d86911b64228,172268,0.61,0.0,0.0,0,0.0,0.0
7723006e-720e-4c97-825f-1752cd112736,198818,1.06,0.0,0,0,0,0
875456fb-b41f-491b-8186-98fbc0b38bf3,174077,1.07,0.0,0,0,0,0
dd4297fa-8b3c-4bce-84b4-e264bd1f9bfe,45530,0.92,3.45,2.75,"103,117.86",11.06,17.46
c61c4db9-483a-43a6-8eef-4fbf0f576474,30419,0.99,0.0,0.0,0,0,0
a154aecd-da82-44db-81b5-445f2422c457,87920,0.33,0.26,1.06,0,1.02,7.05
5b7f4c44-a8d5-4daa-8e27-29950f7e5561,137249,0.45,2.04,1.48,"43,089.46",7.53,15.3
151384a8-0c73-487e-9a7e-1912840bfdab,69902,0.7,3.2,2.07,"92,766.96",12.91,17.54
46d70519-d1ff-4aca-bf44-302e463ac225,83492,0.57,1.97,1.49,"38,136.09",7.62,15.09
cd1a8a62-8ef1-4a4f-b865-243a8cc66b02,203975,1.31,1.37,0.95,"7,306.66",6.37,11.69
ec53b739-e1f3-4170-887c-eaf46bae02b7,72629,1.24,0.0,0.0,0,0,0
6c57c9d2-af72-4d7f-9bc6-10dfd2960cb7,217241,3.03,1.39,1.12,"24,829.99",4.63,9.84
3009b180-7e73-489c-86de-b5b83a6cc966,48626,0.89,1.5,1.13,"27,419.02",5.57,13.33
788aad30-341d-4e37-92e5-946a8885f394,250550,0.65,1.95,1.22,"22,276",7.23,15.04
c3ddb75f-908f-45d4-a959-27de7e122936,212318,1.66,2.0,0.84,"14,188.4",5.9,11.99
112ac776-d98d-4e39-973e-aa4ecdfaeaf0,70379,1.57,0.0,0.0,0,0,0
32deaa65-0a4a-405b-8fce-3042d0d1894b,120140,0.29,0.0,0.0,0,0.0,0.0
b294eebe-59ff-415a-8c90-eb6254852bb8,249623,1.28,3.37,2.22,"2,619.54",14.68,28.29
a861d191-3527-4773-b353-a076195017d7,113273,1.13,3.82,2.54,"14,836.8",15.93,23.34
ff5b16c6-0c98-4857-93f2-bdbcb8fd59cb,132785,0.88,0.33,0.19,425.61,0.62,4.44
615629d0-642d-4d78-abd5-d805bef370ea,214055,1.78,1.61,0.78,"10,528.3",2.55,10.14
2ec6eebe-8004-4ab1-9e18-4de37b1720b5,171863,1.79,5.52,2.81,"92,132.72",14.65,18.21
e290c006-a8a5-4cee-87c5-105b7f489034,222614,0.8,2.72,2.1,"120,149.77",10.27,16.79
2930a983-a2be-4b02-a455-e40c384fb394,166022,1.49,2.53,1.42,"100,084.95",7.32,14.49
fb130408-77e7-4a9e-a3c1-ea2b2c40192b,120563,1.35,1.72,1.22,"61,445.35",8.04,13.57
2d6ed37c-e814-42bf-be41-2188e9564dfe,253421,2.0,1.36,1.15,"1,758.34",6.42,12.27
0fb22428-a249-4d34-bd88-21f5598a08f2,102428,1.73,1.13,0.73,"22,061.79",3.61,12.09
9a1e2128-4135-4a55-bbfb-1ca10778823e,194354,2.02,2.2,1.65,"37,945.99",7.96,17.8
064c6e6f-3e0a-49cb-849d-3e06b46d6d0a,71648,1.76,0.6,0.28,0,1.33,6.62
21e45d84-1837-4ed3-81fa-1907a2a40df7,214379,1.17,1.7,0.82,"1,268.49",7.06,14.65
863260c8-fff9-4c32-a6dd-0c1aaaebc851,219671,1.18,2.09,1.45,"68,713.86",9.99,12.78
f10ebc05-bcbe-41b6-a549-acc517769e06,82628,0.96,2.03,1.56,"39,089.33",7.75,15.09
2156fa67-15bc-416e-a1b5-0963a7a7ddda,145241,2.02,2.52,1.73,"53,015.52",8.38,16.67
5ed9b971-7faf-465a-9746-1a2667d75563,34784,0.94,0.0,0.0,0,0,0
37c33326-b1fb-4208-a7df-08f7ead749da,103976,1.77,0.0,0.0,718.79,0.0,0.0
8a688387-3b7f-4207-9a95-0772c8e60ec5,215675,1.27,0.0,0,0,0,0
03024b02-13ed-4a96-8720-918c402e6cbd,180530,1.01,1.96,1,"11,133.42",8.23,14.97
c2191bad-d570-47a4-aa1f-f768005d13ad,191528,0.65,1.65,0.85,"6,406.3",5.61,11.11
fa816432-89ef-483d-901f-a2c71ed78c11,149822,0.92,2.31,1.25,"49,162.36",8.88,15.15
627e94f5-3e08-43ed-88fd-4dcc04d94203,103643,1.94,0.0,0.0,0,0.0,0.0
622d1ada-ca0a-4e6c-a4f1-709717e9f872,233018,0.26,0.0,0,0,0,0
a5bdfbf7-e606-43dd-960b-31c467e8e530,156275,1.07,2.61,1.47,"23,797.74",12.66,17.67
d808bf53-24bd-4483-a535-7db0435547f7,222281,0.82,1.7,1.22,"35,412.47",7.63,14.11
eeae875b-2468-431d-b5d5-c475a597987e,203768,0.41,0.0,0,0,0,0
1d4f2e61-c129-44ff-a9fc-5d23dd6271e7,232010,0.9,5.92,3.56,"113,749.55",16.32,25.49
ef8256ca-ccbb-4da0-9a0f-81ab57d13cb1,85013,0.65,0.0,0.0,0,0,0
dde32bff-c754-48b5-ae9e-6b9ace913e47,228761,0.69,2.31,1.47,"41,189.76",7.96,15.43
c3d1bc96-765f-4444-a664-67595a9351c7,196820,1.38,3.65,2.39,"13,111.67",16.26,24.92
c208d712-87f6-40ee-8164-c96a04bcbc4f,44936,0.55,2.64,1.9,"30,501.39",9.23,18.48
a65dc147-48cd-4619-89d0-c500cb4602f8,220445,1.21,2.97,2.03,"105,950.68",8.81,17.05
1928e08f-6130-455c-a63f-ada3ad0040df,94904,0.93,0.0,0.0,0,0,0
7fc7412e-fb6e-4cef-ab88-aaed6dff9575,47942,3.01,1.63,0.98,"10,614.14",8.17,14.95
f86e979d-d41f-4d32-8d64-1769a6edb988,222551,1.47,2.96,1.87,"95,932.48",8.02,15.91
9fde9848-dcec-492f-bf85-95a2e7a5f7c7,151973,1.12,2.16,1.99,"26,531.81",9.17,17.31
2bd53b3d-9203-4c5a-85c4-46381d799086,106883,0.41,0.0,0.0,0,0.0,0.0
198abed3-108a-4c33-bb9b-215498aef6f6,203219,2.28,2.58,1.74,"29,802.58",6.39,18.32
4c975d3f-9125-42dc-b338-4752321752b9,155033,1.23,1.93,1.31,"8,755.34",6.63,18.9
1ac79de1-766c-4ab8-a093-cf8b703c4cd8,202418,0.89,2.9,1.14,"1,879.17",9.04,14.81
605cde37-d871-429a-b330-4ee083f07df2,178442,2.87,1.43,1.09,"2,827.79",6.95,9.1
ce461972-551e-4961-a467-81351379afca,138266,1.15,2.18,1.17,"38,651.17",5.87,13.16
5468015d-1cd3-4d4e-a789-c7d998fcf18d,124217,2.18,4.4,3.36,"106,917.35",15.43,30.53
35f37570-8b0a-4d6c-80c6-1a639b173b81,31814,1.82,4.74,3.49,"12,245.42",19.64,29.23
70857d2b-efea-44ed-b825-4f0f4ef3ca65,169406,1.61,4.44,2.3,"2,978.47",10.36,26.68
a5035d49-d4ee-4cef-9c99-168cd23f9178,251603,0.84,2.05,1.71,"57,278.21",6.24,14.13
75396d0d-ed04-476e-9dd1-4da0d032323f,180197,0.45,0.0,0,0,0,0
e7abf64d-08ef-465a-8766-0008d1579ffe,28547,0.55,1.32,1.22,"59,400.55",9.28,10.85
fccd798b-28af-4ea9-b344-7c55d5d59697,95075,0.09,3.17,2.34,"109,558.63",13.67,17.98
235cca49-ce97-4ced-b503-4dbb7c9fcd1b,252314,2.14,2.03,2.11,"19,016.63",11.23,11.08
1e69d578-3c8a-41bf-a4d2-1b091bd77362,235943,0.53,0.0,0,0,0,0
5c1fd526-e8ed-43f9-8887-89610d0690b0,136088,0.94,0.0,0.0,0,0.0,0.0
bfa480c7-81f2-438d-a682-e0a1519494c4,79559,0.0,0.0,0.0,0,0,0
17dfdd9d-9517-46fb-87e5-6b6f0cf6f21b,69812,1.65,0.0,0.0,0,0,0
65c4b419-c1ca-4ac7-b8f8-3753620f4524,240794,0.78,2.13,6.62,"11,647.94",16.63,44.35
5a6c402f-e493-4d10-89e6-bfa5969dbe1d,209969,0.94,5.09,3.01,"80,325.85",11.25,17.71
42d3bbd6-f02b-4f67-836c-779a4d8fd5fd,34748,1.75,0.0,0.0,0,0,0
18f49544-1617-4f33-bf7b-fb293eb01c71,58670,1.69,0.0,0.0,0,0,0
d1052147-38d7-4981-8b8c-b3a0dcda8aed,121985,0.87,0.0,0.0,0,0.0,0.0
7c793627-8bdc-4fb4-b5a8-70e344483973,105929,1.96,2.05,0.87,"14,958.06",7.07,13.22
2e3c85a3-39da-4632-a05d-e312d6169729,161675,0.5,0.0,0.0,0,0.0,0.0
15955650-8f46-477c-b459-7d99a08edf29,161882,1.16,1.95,1.14,"29,760.67",7.2,12.22
b1e82b51-4827-4cc9-af7f-c0833fe5591e,115136,1.02,1.12,0.52,"2,187.78",3.02,11.96
32ca8949-ff3c-410e-890a-397a9e99f2e7,168830,1.63,0.0,0.3,"14,262",6.08,5.28
615331d0-6792-40eb-851b-24657580ffcc,157850,0.79,7.18,4.14,"110,119.13",22.33,33.0
8db5e143-5b85-4408-918f-610f57fa3398,196802,1.72,1.82,1.25,"41,351.44",6.32,10.78
8f60d503-9d75-47f2-9610-b9b53bbe1392,112733,1.25,0.0,0.0,"3,637.74",0.0,0.0
717d5a75-bab0-44c6-abd4-358cfd4fe5a4,109511,0.79,0.0,0.0,0,0.0,0.0
5b9b3c61-fa87-4221-84e4-f34b84f1cf03,199412,1.44,2.17,1.49,"38,482.24",7.51,16.25
7b2a9559-360d-492e-a3c6-6130f029dadc,141182,0.75,3.72,2.4,"67,218.11",11.57,20.0
86d26239-64a8-43b9-a4ce-e862ab6679a3,64502,2.55,,,,,
1f96d69b-bdb7-42d7-a8d4-fe602d0029be,90557,0.8,3.34,4.12,"62,129.27",14.33,15.48
6f1804f9-7124-4e8e-a8cc-23e35836a571,172376,1.1,1.59,1.19,"34,345.77",5.52,12.68
aa89dac7-cb43-4d16-a52a-37201f076f18,196721,1.29,2.43,2.13,"11,921.52",10.55,16.81
09ce21e3-db80-423b-9bf6-7a4ed4ee5064,148238,0.73,1.64,1.22,"11,060.16",8.06,12.09
a0f0ce3c-bb11-42d3-aeaf-00ce637100cf,39977,2.09,1.6,0.67,"8,771.76",6.54,10.21
56e9d982-69e4-40e1-9357-bbb7cb306e3e,244376,0.95,4.66,3.05,"8,701.01",14.78,18.97
a715e8a4-9cf1-49a4-896b-e8dfd6eaa30e,217979,1.49,2.32,7.31,"13,503.47",17.3,44.2
0896bdce-276e-4fcb-92df-62d9caf3a241,173393,0.71,2.49,1.55,"26,380.75",11.78,16.25
041021d6-bbed-432e-9c7d-27ab4261a8f6,41165,0.81,1.4,0.71,"2,354.27",5.39,12.53
70d2ccec-058c-4fb7-b1d5-81a8ed1c9c68,238148,0.84,1.35,0.81,"5,321.91",5.53,13.72
c008eb72-76f1-472b-8148-967917010829,212003,0.48,0.0,0,0,0,0
b39fa05c-aade-4964-ab5d-9129be38bc55,243818,0.12,0.98,2.46,"6,864.9",7.21,12.54
e5b0a520-701c-414d-947c-578fb787ad9b,67706,0.5,0.0,0.0,0,0,0
8d417f99-7305-4226-b6b4-0781fd0a8e52,237671,0.39,0.0,0,0,0,0
59d2b9a2-7c50-41a7-a774-b8eb7402180d,110699,0.69,0.0,0.0,0,0.0,0.0
