bb_rating,us_govt_bond_rating,below_b_rating,others_rating,maturity_bond,b_rating,tag,a_rating,aaa_rating,aa_rating,bbb_rating,duration_bond
0.0,0.0,0.0,4.51,6.0,0.0,72323,27.35,17.75,43.35,7.03,5.32
3.23,0.0,0.41,0.68,7.68,3.67,160595,4.26,75.2,0.0,12.54,5.65
29.16,0.0,2.52,1.15,10.58,34.2,57950,6.47,7.43,0.0,19.07,6.56
14.53,0.0,2.35,0.1,7.39,12.21,132182,5.64,43.27,2.99,18.91,4.59
0.0,0.0,0.0,0.0,,0.0,179315,0.0,0.0,0.0,0.0,
1.28,0.0,0.2,2.18,6.67,1.99,165032,7.3,55.39,5.43,26.23,4.22
25.6,0.0,7.0,6.1,7.6,20.7,220409,5.5,19.7,1.2,14.2,4.7
6.22,0.0,0.34,0.68,9.43,1.19,162134,14.94,45.66,5.61,25.36,5.82
0.0,0.0,0.0,0.0,,0.0,177335,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,15.2,8.62,0.0,205091,10.85,24.3,49.65,0.0,5.03
0.0,0.0,0.0,0.0,,0.0,35144,0.0,0.0,0.0,0.0,
4.13,0.0,0.11,0.0,10.31,1.2,52577,36.48,2.64,4.93,50.51,7.4
9.48,0.0,7.37,2.27,7.37,11.37,199439,6.8,44.85,4.6,13.26,5.16
0.0,0.0,0.0,0.0,,0.0,65717,0.0,0.0,0.0,0.0,
3.8,0.0,1.52,-0.95,7.4,7.46,122543,12.06,55.58,4.94,15.58,4.84
14.52,0.0,2.23,0.09,7.73,12.77,130481,5.64,42.53,2.88,19.34,4.69
,,,,,,93608,,,,,
0.0,0.0,0.0,0.0,,0.0,171917,0.0,0.0,0.0,0.0,
2.61,0.0,0.79,0.22,8.36,0.57,247616,5.29,75.74,8.65,6.13,3.92
0.0,0.0,0.0,0.0,,0.0,46295,0.0,0.0,0.0,0.0,
8.63,0.0,2.47,6.92,7.34,8.28,136295,11.5,44.63,5.5,12.05,5.39
30.96,0.0,7.62,6.23,6.88,19.51,46511,5.89,9.0,2.16,18.63,2.48
2.6,0.0,0.33,-0.64,7.17,3.61,122894,8.94,69.58,2.13,13.45,5.17
0.0,0.0,0.0,0.0,,0.0,129599,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,188054,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,76859,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,118934,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,158183,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,3.53,0.0,201644,0.0,100.0,0.0,0.0,2.38
0.0,0.0,0.0,0.0,,0.0,231506,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,178496,0.0,0.0,0.0,0.0,
42.22,0.0,3.14,2.88,5.07,46.75,134369,0.0,0.0,0.0,5.01,0.4
0.0,0.0,0.0,0.0,,0.0,157499,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,47294,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,144170,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,205586,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,196433,0.0,0.0,0.0,0.0,
2.32,0.0,0.34,5.87,18.22,0.3,197351,48.1,1.93,25.03,16.1,5.71
9.19,0.0,13.55,-1.14,3.79,7.86,124316,4.2,50.03,7.77,8.54,1.29
6.27,0.0,0.5,5.77,,4.2,199808,15.48,42.3,6.52,18.97,6.37
0.0,0.0,0.0,0.0,5.26,0.0,155888,0.0,0.0,0.0,0.0,3.43
0.0,0.0,0.0,0.0,,0.0,151748,0.0,0.0,0.0,0.0,
5.89,0.0,1.25,0.24,6.12,6.95,135269,19.09,33.35,4.45,28.78,4.74
0.0,0.0,0.0,0.0,,0.0,176435,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,7.67,0.0,28034,0.0,97.4,2.6,0.0,5.21
3.35,0.0,0.0,1.19,6.43,0.0,50813,27.13,0.0,1.39,66.94,5.03
0.0,0.0,0.0,0.0,,0.0,119159,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,198989,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,142568,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,106289,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,126233,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,57167,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,70730,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,38411,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,211292,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,245717,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,101717,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,8.3,0.0,240371,49.0,25.0,22.0,4.0,5.5
0.03,0.0,0.0,0.21,,0.0,157283,12.68,73.13,3.61,10.34,5.73
5.58,0.0,1.82,14.85,4.9,0.01,178190,29.01,3.32,25.23,20.18,3.94
0.0,0.0,0.0,0.0,,0.0,233585,0.0,0.0,0.0,0.0,
49.56,0.0,2.97,3.23,5.38,33.16,74258,0.54,0.4,0.0,10.15,3.84
0.0,0.0,0.0,1.18,6.91,0.0,27071,0.0,98.53,0.29,0.0,5.1
0.0,0.0,0.0,0.0,,0.0,186461,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,252188,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,249740,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,103868,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,178064,0.0,0.0,0.0,0.0,
4.19,0.0,1.2,0.54,,4.29,205172,8.49,70.56,3.89,6.84,3.99
0.0,0.0,0.0,0.0,,0.0,42056,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,230624,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,127799,0.0,0.0,0.0,0.0,
19.56,0.0,5.18,2.01,5.61,17.91,129239,4.78,39.13,2.17,9.26,4.0
0.0,0.0,0.0,0.0,4.57,0.0,131372,17.5,65.73,6.31,10.46,3.68
0.0,0.0,0.0,0.0,,0.0,102095,0.0,0.0,0.0,0.0,
23.1,0.0,0.0,0.7,7.01,0.9,74366,19.8,0.0,2.9,52.6,
0.0,0.0,0.0,0.01,8.0,0.0,228905,10.15,73.14,2.74,13.96,5.67
0.0,0.0,0.0,0.0,,0.0,73016,0.0,0.0,0.0,0.0,
5.28,0.0,0.0,-2.06,14.41,0.0,157526,32.91,12.8,22.76,28.31,5.99
0.0,0.0,0.0,0.0,,0.0,41228,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,7.99,0.0,143873,9.02,77.23,2.3,11.45,5.76
0.0,0.0,0.0,0.0,,0.0,148913,0.0,0.0,0.0,0.0,
4.0,0.0,0.0,3.0,5.62,9.0,224702,19.0,30.0,10.0,25.0,5.31
0.0,0.0,0.0,0.0,,0.0,104282,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,179297,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,118052,0.0,0.0,0.0,0.0,
9.5,0.0,6.1,0.0,9.0,10.8,81080,14.8,1.1,0.9,56.8,6.0
5.09,0.0,0.0,0.0,5.4,1.78,216233,33.16,1.79,3.45,54.73,4.26
0.0,0.0,0.0,0.0,,0.0,190349,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,64.39,,0.0,212354,0.0,35.61,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,55529,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,194768,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,248498,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,90638,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,155042,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,133955,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.01,0.0,181250,0.0,0.0,0.0,0.0,0.14
0.0,0.0,0.0,0.0,,0.0,226106,0.0,0.0,0.0,0.0,
0.41,0.0,0.13,0.18,,0.22,62207,6.93,83.55,4.63,3.95,3.27
0.0,0.0,0.0,0.0,,0.0,66482,0.0,0.0,0.0,0.0,
,,,,,,58373,,,,,
0.0,0.0,0.0,0.0,1.99,0.0,235151,11.28,71.94,7.1,9.68,1.91
10.8,0.0,34.3,4.0,4.4,50.9,251135,0.0,0.0,0.0,0.0,3.3
0.0,0.0,0.0,4.06,1.56,0.0,173771,22.18,46.05,4.35,23.36,1.73
0.0,0.0,0.0,0.0,,0.0,228959,0.0,0.0,0.0,0.0,
40.31,0.0,8.55,1.0,,38.62,115361,0.0,7.54,0.0,3.98,1.92
13.9,0.0,6.12,5.79,6.1,20.92,245132,7.11,8.07,5.14,32.95,3.74
17.64,0.0,4.13,1.21,7.09,26.42,223604,0.06,45.63,0.0,4.91,4.45
0.0,0.0,0.0,0.0,,0.0,38744,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,165878,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,248111,0.0,0.0,0.0,0.0,
0.6,0.0,0.0,0.57,2.5,0.0,46718,9.65,59.97,2.6,26.6,1.83
12.61,0.0,2.31,0.09,7.33,11.13,131777,5.9,46.64,3.0,18.33,4.69
0.0,0.0,0.0,0.0,,0.0,36413,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.62,25.3,0.0,247634,0.0,99.38,0.0,0.0,16.96
0.0,0.0,0.0,0.0,11.4,0.0,121823,41.8,4.1,7.4,46.7,7.8
0.0,0.0,0.0,0.0,,0.0,101393,0.0,0.0,0.0,0.0,
12.69,0.0,0.57,26.34,14.34,4.96,172268,12.01,0.89,14.35,28.2,5.01
0.0,0.0,0.0,0.0,,0.0,198818,0.0,0.0,0.0,0.0,0.46
3.55,0.0,0.03,4.25,2.72,0.24,174077,37.57,9.57,36.7,8.09,2.25
0.0,0.0,0.0,0.0,,0.0,45530,0.0,0.0,0.0,0.0,
24.84,0.0,0.0,0.0,5.83,8.87,30419,16.23,27.36,-0.19,22.9,3.76
6.65,0.0,1.04,6.39,3.06,3.82,87920,15.88,36.37,11.39,18.48,1.6
9.47,0.0,2.25,6.27,7.05,8.49,137249,10.62,46.55,4.97,11.39,5.13
0.0,0.0,0.0,0.0,,0.0,69902,0.0,0.0,0.0,0.0,
2.43,0.0,0.47,-1.14,,1.92,83492,11.23,67.53,1.56,15.99,6.44
0.0,0.0,0.0,0.0,,0.0,203975,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,72629,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,217241,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,48626,0.0,0.0,0.0,0.0,
3.16,0.0,0.9,0.05,,3.42,250550,12.43,57.2,3.65,19.18,5.37
12.62,0.0,3.22,0.03,4.48,11.65,212318,18.21,33.75,9.59,10.93,2.77
6.06,0.0,0.29,7.48,6.75,0.54,70379,27.92,0.46,33.15,24.1,5.13
0.27,0.0,0.0,0.61,2.22,0.0,120140,20.95,47.18,10.44,20.55,1.92
0.0,0.0,0.0,0.0,,0.0,249623,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,113273,0.0,0.0,0.0,0.0,
17.73,0.0,2.33,0.14,6.03,17.55,132785,7.94,21.59,5.93,26.79,2.32
0.0,0.0,0.0,0.0,,0.0,214055,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,171863,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,222614,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,166022,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,120563,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,253421,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,102428,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,194354,0.0,0.0,0.0,0.0,
33.63,0.0,5.26,4.72,5.42,50.38,71648,0.0,0.0,0.0,6.01,0.81
0.0,0.0,0.0,0.0,,0.0,214379,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,219671,0.0,0.0,0.0,0.0,
5.7,0.0,0.35,0.16,,3.3,82628,13.98,58.76,0.67,17.08,3.78
1.71,0.0,0.91,1.05,4.26,2.73,145241,11.38,62.8,3.47,15.95,4.06
0.0,0.0,0.0,0.0,,0.0,34784,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,103976,0.0,0.0,0.0,0.0,
11.63,0.0,0.0,0.42,,1.15,215675,29.41,9.32,0.0,48.07,
0.0,0.0,0.0,0.0,,0.0,180530,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,191528,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,149822,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,103643,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.44,5.43,0.0,233018,0.0,99.56,0.0,0.0,5.07
0.0,0.0,0.0,0.0,,0.0,156275,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,222281,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.18,,0.0,203768,4.94,85.04,9.84,0.0,1.73
0.0,0.0,0.0,0.0,,0.0,232010,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,15.03,0.0,85013,10.15,38.39,49.5,1.96,6.19
7.31,0.0,0.98,1.98,8.44,7.08,228761,13.31,39.38,8.0,21.96,5.82
0.0,0.0,0.0,0.0,,0.0,196820,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,44936,0.0,0.0,0.0,0.0,
21.79,0.0,3.19,2.39,,25.96,220445,12.44,5.48,4.08,24.67,
0.0,0.0,0.0,3.5,0.6,0.0,94904,15.5,54.6,12.4,14.0,0.5
0.0,0.0,0.0,0.0,,0.0,47942,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,222551,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,151973,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,106883,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,203219,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,155033,3.37,85.95,10.34,0.33,5.46
0.0,0.0,0.0,0.0,,0.0,202418,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,178442,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,138266,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,124217,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,31814,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,169406,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,251603,0.0,0.0,0.0,0.0,
7.78,0.0,0.33,0.66,,0.05,180197,22.1,13.48,5.31,50.28,2.06
0.0,0.0,0.0,0.0,,0.0,28547,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,95075,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,252314,0.0,0.0,0.0,0.0,
0.76,0.0,0.0,0.0,8.25,0.0,235943,1.93,84.31,2.66,10.35,6.89
16.6,0.0,0.06,2.09,2.35,2.0,136088,10.14,32.96,5.71,30.44,1.52
0.16,0.0,0.0,0.0,,0.0,79559,18.13,57.34,4.42,19.95,1.82
3.29,0.0,0.16,2.71,8.78,7.91,69812,20.25,23.11,14.18,28.39,0.58
0.0,0.0,0.0,0.0,,0.0,240794,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,209969,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,34748,0.0,0.0,0.0,0.0,
9.71,0.0,0.97,68.75,5.28,7.04,58670,2.21,3.05,0.0,8.27,2.37
10.6,0.0,0.4,0.5,,5.2,121985,11.1,28.3,9.2,34.7,
0.0,0.0,0.0,0.0,,0.0,105929,0.0,0.0,0.0,0.0,
0.2,0.0,0.0,1.63,10.69,0.0,161675,25.86,10.76,53.7,7.85,4.78
0.0,0.0,0.0,0.0,,0.0,161882,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,115136,0.0,0.0,0.0,0.0,
4.41,0.0,0.0,7.75,15.96,0.97,168830,24.62,19.39,24.35,18.51,7.09
0.0,0.0,0.0,0.0,,0.0,157850,0.0,0.0,0.0,0.0,
24.91,0.0,3.82,2.75,8.21,6.05,196802,3.96,37.03,6.31,15.17,4.38
22.62,0.0,11.16,7.93,,58.29,112733,0.0,0.0,0.0,0.0,
26.39,0.0,7.08,12.56,5.19,50.3,109511,0.0,0.0,0.27,3.4,0.42
9.48,0.0,7.37,2.27,7.37,11.37,199412,6.8,44.85,4.6,13.26,5.16
0.0,0.0,0.0,0.0,,0.0,141182,0.0,0.0,0.0,0.0,
,,,,,,64502,,,,,
0.0,0.0,0.0,0.0,,0.0,90557,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,172376,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,196721,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,148238,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,39977,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,244376,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,217979,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,173393,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,41165,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,238148,0.0,0.0,0.0,0.0,
3.6,0.0,1.95,2.86,,1.45,212003,11.55,54.49,8.6,15.5,5.87
0.0,0.0,0.0,0.0,,0.0,243818,0.0,0.0,0.0,0.0,
3.84,0.0,0.39,3.42,17.28,1.81,67706,55.7,2.08,17.58,15.18,5.05
0.0,0.0,0.08,9.27,,0.04,237671,15.84,31.64,17.29,25.84,0.56
2.64,0.0,0.33,7.56,5.77,2.15,110699,30.64,2.58,41.3,12.8,5.1
0.0,0.0,0.0,0.0,,0.0,107459,0.0,0.0,0.0,0.0,
3.16,0.0,1.32,-1.17,6.85,7.15,123335,10.45,61.07,3.76,14.26,4.71
0.0,0.0,0.0,0.0,,0.0,243044,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,224945,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,66527,0.0,0.0,0.0,0.0,
10.22,0.0,0.0,0.75,9.23,1.03,126593,3.18,68.25,1.0,15.57,6.01
,,,,,,111554,,,,,
0.0,0.0,0.0,0.0,,0.0,183221,0.0,0.0,0.0,0.0,
22.21,0.0,0.0,0.0,0.2,14.69,83735,23.43,0.0,0.0,39.67,0.19
0.0,0.0,0.0,0.0,,0.0,137033,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,214064,0.0,0.0,0.0,0.0,
2.28,0.0,0.16,0.05,8.25,2.73,85472,28.94,2.24,1.5,62.1,6.03
0.0,0.0,0.0,0.0,,0.0,208655,0.0,0.0,0.0,0.0,
6.27,0.0,0.5,5.77,,4.2,183725,15.48,42.3,6.52,18.97,6.37
0.0,0.0,0.0,0.0,,0.0,243386,0.0,0.0,0.0,0.0,
0.23,0.0,0.0,1.41,,1.31,194525,32.02,4.19,55.88,4.96,6.57
0.0,0.0,0.0,0.0,,0.0,95210,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,72458,0.0,0.0,0.0,0.0,
0.02,0.0,0.0,15.25,1.27,0.0,164141,25.87,19.81,12.31,26.74,0.99
0.0,0.0,0.0,0.0,,0.0,117980,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,81962,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,112400,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,137393,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,51155,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,229247,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,83753,0.0,0.0,0.0,0.0,
2.86,0.0,0.0,8.28,,0.0,199673,39.09,5.62,31.0,13.15,6.48
17.08,0.0,2.48,0.74,8.29,11.75,72116,8.38,35.95,4.43,19.19,4.49
11.9,0.0,1.3,0.0,8.33,2.9,43532,4.7,63.8,3.4,12.0,4.84
11.68,0.0,0.46,10.26,4.11,1.46,74492,29.56,3.55,18.84,24.19,2.41
0.0,0.0,0.0,0.0,,0.0,49319,0.0,0.0,0.0,0.0,
0.0,0.0,0.06,0.17,,0.0,54035,5.94,86.27,5.79,1.77,2.74
26.56,0.0,3.32,4.1,5.73,37.34,96524,0.41,15.01,0.0,13.26,1.8
0.0,0.0,0.0,0.0,,0.0,188180,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.01,,0.0,240065,0.0,99.99,0.0,0.0,4.77
0.0,0.0,0.0,0.0,,0.0,154322,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,42551,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,162557,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,50507,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,29717,0.0,0.0,0.0,0.0,
6.99,0.0,3.67,11.67,8.04,1.52,157103,36.98,5.68,12.25,21.24,6.66
41.57,0.0,4.24,1.31,6.27,51.95,215216,0.0,0.0,0.0,0.93,3.6
0.0,0.0,0.0,0.0,,0.0,226061,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,148850,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,121328,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,108773,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,246635,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,149417,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,172502,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.41,0.0,73277,0.0,100.0,0.0,0.0,0.4
6.51,0.0,2.63,2.71,6.73,6.03,216539,9.44,42.9,9.23,20.54,4.4
16.07,0.0,3.52,4.21,,14.9,203651,4.92,42.88,5.93,7.57,5.62
0.0,0.0,0.0,0.0,,0.0,58148,0.0,0.0,0.0,0.0,
16.41,0.0,2.9,3.51,9.38,16.9,208673,10.01,24.62,7.48,18.16,4.87
4.53,0.0,0.0,5.25,14.07,0.0,69218,21.0,5.66,39.51,24.05,4.76
0.0,0.0,0.0,0.0,,0.0,109889,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,92879,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,213596,0.0,0.0,0.0,0.0,
1.11,0.0,0.59,0.68,3.3,1.78,58130,0.62,93.14,0.3,1.76,3.41
0.0,0.0,0.0,0.0,,0.0,136313,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,201041,0.0,0.0,0.0,0.0,
21.89,0.0,1.68,6.89,11.04,25.37,152603,6.06,1.24,2.81,34.05,6.83
0.0,0.0,0.0,0.0,,0.0,252647,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,,0.0,26648,0.0,0.0,0.0,0.0,
2.44,0.0,0.47,-0.88,,1.9,80702,11.48,66.84,1.58,16.15,6.53
